Guess,lapse,lat1n,leeuw,laaie,laars,label,laden,lader,lagen,lager,lakei,laken,lamel,lamet,lamme,lands,lange,langs,lapel,laren,large,largo,larie,larve,laser,lasso,laste,latei,laten,later,latex,lat1n,latuw,lavas,laven,lavet,lazen,lazer,lease,lebbe,leden,leder,ledig,leers,leest,leeuw,legen,leger,leges,legio,leien,leken,lelie,lel1k,lemen,lemma,lende,lenen,lener,lenig,lente,lento,lenze,lepel,lepra,leren,lesbo,leste,leute,leuze,leven,lever,lezen,lezer,liaan,liane,libel,licht,lieve,l1den,l1der,l1fje,l1ken,l1kwa,l1men,l1mer,l1mig,l1nen,l1ven,l1vig,l1zen,l1zig,liman,limbo,limes,limit,linde,linie,links,linze,lipje,liter,litho,lobby,locus,loden,loens,logee,logen,logos,loipe,loken,loket,lokus,lolly,lomig,lonen,loods,loops,lopen,loper,lorre,loser,losse,loten,lotje,lotto,lotus,loven,lover,lozen,lucht,luide,luien,luier,lullo,lumme,lunch,lunet,lupus,lutje,luwen,luwte,lycra,lymfe,lysol,lumen,level
lakte,22002,22010,20001,22002,22000,22001,22001,22001,22001,22001,22201,22201,22001,22011,22002,22000,22002,22000,22001,22001,22002,22000,22002,22002,22001,22000,22022,22011,22011,22011,22011,22010,22010,22000,22001,22011,22001,22001,21002,20002,20001,20001,20001,20001,20011,20001,20001,20001,20001,20001,20001,20201,20002,20101,20001,21001,20002,20001,20001,20001,20022,20021,20002,20001,21001,20001,20001,20022,20022,20002,20001,20001,20001,20001,21000,21002,20001,20010,20002,20001,20001,20002,20201,21200,20001,20001,20000,20001,20001,20000,20001,20000,21000,20000,20001,20010,20002,20002,20100,20002,20002,20011,20010,20000,20000,20001,20001,20002,20001,20000,20002,20201,20211,20200,20000,20000,20001,20000,20000,20001,20001,20002,20001,20002,20011,20012,20020,20010,20001,20001,20001,20010,20002,20001,20001,20000,20002,20000,20011,20000,20012,20001,20022,21000,20002,20000,20001,20001
lalde,22002,22000,20001,22002,22000,22101,22011,22011,22001,22001,22001,22001,22101,22001,22002,22020,22002,22000,22101,22001,22002,22000,22002,22002,22001,22000,22002,22001,22001,22001,22001,22000,22000,22000,22001,22001,22001,22001,21002,20002,20011,20011,20011,20001,20001,20001,20001,20001,20001,20001,20001,20001,20202,20201,20001,21001,20022,20001,20001,20001,20002,20001,20002,20101,21001,20001,20001,20002,20002,20002,20001,20001,20001,20001,21000,21002,20101,20000,20002,20011,20011,20002,20001,21000,20001,20001,20000,20001,20001,20000,20001,20000,21000,20000,20001,20000,20022,20002,20000,20002,20002,20001,20000,20000,20000,20011,20001,20002,20001,20000,20002,20001,20001,20000,20200,20000,20001,20020,20000,20001,20001,20002,20001,20002,20001,20002,20000,20000,20001,20001,20001,20000,20022,20001,20001,20200,20002,20000,20001,20000,20002,20001,20002,21000,20002,20100,20001,20101
lamst,22020,22001,20000,22000,22010,22000,22000,22000,22000,22000,22000,22000,22200,22202,22200,22010,22000,22010,22000,22000,22000,22000,22000,22000,22010,22020,22011,22001,22001,22001,22001,22001,22001,22010,22000,22002,22000,22000,21020,20000,20000,20000,20000,20010,20022,20000,20000,20000,20010,20000,20000,20000,20000,20000,20200,21200,20000,20000,20000,20000,20001,20001,20000,20000,21000,20000,20010,20011,20001,20000,20000,20000,20000,20000,21000,21000,20000,20002,20000,20000,20000,20000,20000,21000,20200,20200,20200,20000,20000,20000,20000,20000,21200,20200,20210,20202,20000,20000,20010,20000,20000,20001,20001,20000,20010,20000,20010,20000,20000,20010,20000,20000,20002,20010,20000,20200,20000,20010,20010,20000,20000,20000,20010,20020,20001,20001,20001,20011,20000,20000,20000,20002,20000,20000,20000,20000,20200,20000,20002,20010,20001,20000,20001,21000,20200,20010,20200,20000
lande,22002,22100,20001,22002,22000,22001,22111,22011,22101,22001,22001,22101,22001,22001,22002,22220,22202,22200,22001,22101,22002,22000,22002,22002,22001,22000,22002,22001,22101,22001,22001,22100,22000,22000,22101,22001,22101,22001,21002,20002,20111,20011,20011,20001,20001,20001,20101,20001,20001,20001,20101,20101,20002,20001,20101,21001,20222,20201,20201,20201,20202,20201,20202,20001,21001,20101,20001,20002,20002,20002,20101,20001,20101,20001,21100,21102,20001,20000,20002,20111,20011,20002,20101,21000,20101,20001,20000,20201,20101,20000,20101,20000,21100,20000,20001,20000,20222,20202,20200,20202,20002,20001,20000,20000,20000,20111,20101,20002,20101,20000,20002,20101,20001,20000,20000,20000,20201,20020,20000,20101,20001,20002,20001,20002,20101,20002,20000,20000,20101,20001,20101,20000,20022,20101,20001,20000,20002,20200,20201,20000,20002,20101,20002,21000,20002,20000,20101,20001
landt,22000,22101,20000,22000,22000,22000,22110,22010,22100,22000,22000,22100,22000,22002,22000,22220,22200,22200,22000,22100,22000,22000,22000,22000,22000,22000,22001,22001,22101,22001,22001,22101,22001,22000,22100,22002,22100,22000,21000,20000,20110,20010,20010,20000,20002,20000,20100,20000,20000,20000,20100,20100,20000,20000,20100,21000,20220,20200,20200,20200,20201,20201,20200,20000,21000,20100,20000,20001,20001,20000,20100,20000,20100,20000,21100,21100,20000,20002,20000,20110,20010,20000,20100,21000,20100,20000,20000,20200,20100,20000,20100,20000,21100,20000,20000,20002,20220,20200,20200,20200,20000,20001,20001,20000,20000,20110,20100,20000,20100,20000,20000,20100,20002,20000,20000,20000,20200,20020,20000,20100,20000,20000,20000,20000,20101,20001,20001,20001,20100,20000,20100,20002,20020,20100,20000,20000,20000,20200,20202,20000,20001,20100,20001,21000,20000,20000,20100,20000
lanen,22010,22002,20010,22010,22000,22020,22022,22020,22022,22020,22020,22022,22020,22020,22010,22200,22210,22200,22020,22022,22010,22000,22010,22010,22020,22000,22010,22020,22022,22020,22020,22002,22000,22000,22022,22020,22022,22020,21010,20010,20022,20020,20010,20010,20010,20010,20022,20020,20020,20010,20022,20022,20010,20010,20022,21010,20210,20222,20220,20210,20210,20210,20210,20020,21010,20022,20010,20010,20010,20010,20022,20020,20022,20020,21002,21110,20020,20000,20010,20022,20020,20010,20022,21000,20022,20020,20000,20222,20022,20000,20022,20000,21002,20000,20020,20000,20210,20210,20200,20210,20010,20020,20000,20000,20000,20022,20110,20020,20022,20000,20010,20022,20020,20000,20000,20000,20222,20000,20000,20022,20020,20010,20020,20010,20022,20010,20000,20000,20022,20020,20022,20000,20010,20022,20020,20000,20010,20200,20220,20000,20010,20022,20010,21000,20010,20000,20022,20020
langt,22000,22101,20000,22000,22000,22000,22100,22000,22110,22010,22000,22100,22000,22002,22000,22200,22220,22220,22000,22100,22020,22020,22000,22000,22000,22000,22001,22001,22101,22001,22001,22101,22001,22000,22100,22002,22100,22000,21000,20000,20100,20000,20010,20000,20002,20000,20110,20010,20010,20010,20100,20100,20000,20000,20100,21000,20200,20200,20200,20210,20201,20201,20200,20000,21000,20100,20000,20001,20001,20000,20100,20000,20100,20000,21100,21100,20000,20002,20000,20100,20000,20000,20100,21000,20100,20000,20010,20200,20100,20010,20100,20010,21100,20000,20000,20002,20200,20200,20200,20200,20000,20001,20001,20000,20000,20100,20100,20010,20110,20010,20000,20100,20002,20000,20000,20010,20200,20000,20000,20100,20000,20000,20000,20000,20101,20001,20001,20001,20100,20000,20100,20002,20000,20100,20000,20000,20000,20200,20202,20000,20001,20100,20001,21000,20000,20000,20100,20000
lapje,22202,22000,20001,22002,22000,22001,22001,22001,22001,22001,22001,22001,22001,22001,22002,22000,22002,22000,22201,22001,22002,22000,22002,22002,22001,22000,22002,22001,22001,22001,22001,22000,22000,22000,22001,22001,22001,22001,21002,20002,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20002,20001,20001,21001,20002,20001,20001,20001,20002,20001,20002,20201,21201,20001,20001,20002,20002,20002,20001,20001,20001,20001,21000,21002,20001,20000,20002,20001,20001,20022,20001,21000,20001,20001,20000,20001,20001,20000,20001,20000,21000,20000,20001,20000,20002,20002,20000,20002,20222,20001,20000,20000,20000,20001,20001,20002,20001,20000,20102,20001,20001,20000,20000,20000,20001,20000,20100,20201,20201,20002,20001,20002,20001,20022,20000,20000,20001,20001,20001,20000,20002,20001,20001,20000,20002,20000,20001,20200,20022,20001,20002,21000,20002,20000,20001,20001
lapte,22202,22010,20001,22002,22000,22001,22001,22001,22001,22001,22001,22001,22001,22011,22002,22000,22002,22000,22201,22001,22002,22000,22002,22002,22001,22000,22022,22011,22011,22011,22011,22010,22010,22000,22001,22011,22001,22001,21002,20002,20001,20001,20001,20001,20011,20001,20001,20001,20001,20001,20001,20001,20002,20001,20001,21001,20002,20001,20001,20001,20022,20021,20002,20201,21201,20001,20001,20022,20022,20002,20001,20001,20001,20001,21000,21002,20001,20010,20002,20001,20001,20002,20001,21000,20001,20001,20000,20001,20001,20000,20001,20000,21000,20000,20001,20010,20002,20002,20000,20002,20202,20011,20010,20000,20000,20001,20001,20002,20001,20000,20102,20001,20011,20000,20000,20000,20001,20000,20100,20201,20201,20002,20001,20002,20011,20012,20020,20010,20001,20001,20001,20010,20002,20001,20001,20000,20002,20000,20011,20200,20012,20001,20022,21000,20002,20000,20001,20001
latte,22002,22200,20001,22002,22000,22001,22001,22001,22001,22001,22001,22001,22001,22101,22002,22000,22002,22000,22001,22001,22002,22000,22002,22002,22001,22000,22022,22201,22201,22201,22201,22200,22200,22000,22001,22101,22001,22001,21002,20002,20001,20001,20001,20001,20101,20001,20001,20001,20001,20001,20001,20001,20002,20001,20001,21001,20002,20001,20001,20001,20022,20021,20002,20001,21001,20001,20001,20022,20022,20002,20001,20001,20001,20001,21000,21002,20001,20100,20002,20001,20001,20002,20001,21000,20001,20001,20000,20001,20001,20000,20001,20000,21000,20000,20001,20100,20002,20002,20000,20002,20002,20201,20200,20000,20000,20001,20001,20002,20001,20000,20002,20001,20101,20000,20000,20000,20001,20000,20000,20001,20001,20002,20001,20002,20201,20202,20220,20200,20001,20001,20001,20100,20002,20001,20001,20000,20002,20000,20101,20000,20202,20001,20022,21000,20002,20000,20001,20001
lauwe,22002,22000,20111,22002,22000,22001,22001,22001,22001,22001,22001,22001,22001,22001,22002,22000,22002,22000,22001,22001,22002,22000,22002,22002,22001,22000,22002,22001,22001,22001,22001,22000,22110,22000,22001,22001,22001,22001,21002,20002,20001,20001,20001,20001,20001,20111,20001,20001,20001,20001,20001,20001,20002,20001,20001,21001,20002,20001,20001,20001,20002,20001,20002,20001,21001,20001,20001,20002,20202,20202,20001,20001,20001,20001,21000,21002,20001,20000,20002,20001,20001,20002,20001,21020,20001,20001,20000,20001,20001,20000,20001,20000,21000,20000,20001,20000,20002,20002,20000,20002,20002,20001,20000,20000,20100,20001,20001,20002,20001,20000,20002,20001,20001,20100,20000,20000,20001,20000,20000,20001,20001,20002,20001,20002,20001,20002,20000,20100,20001,20001,20001,20100,20102,20101,20101,20100,20102,20100,20101,20100,20102,20111,20112,21000,20002,20000,20101,20001
leeft,21000,20001,22200,21000,20000,21000,21000,21000,21000,21000,21000,21000,21000,21002,21000,20000,21000,20000,21000,21000,21000,20000,21000,21000,21000,20000,21001,21001,21001,21001,21001,20001,20001,20000,21000,21002,21000,21000,22100,22100,22100,22100,22000,22200,22202,22200,22100,22100,22100,22000,22100,22100,22100,22000,22100,22000,22100,22100,22100,22000,22101,22001,22100,22100,22000,22100,22000,22101,22101,22100,22100,22100,22100,22100,20000,21000,21000,20002,21200,21000,21000,21010,21000,20000,21000,21000,20000,21000,21000,20000,21000,20000,20000,20000,21000,20002,21000,21000,20000,21000,21000,21001,20001,20000,20000,21000,20200,21100,21000,20000,21000,21000,21002,20000,20000,20000,21000,20000,20000,21000,21000,21000,21000,21000,21001,21001,20001,20001,21000,21000,21000,20002,21000,21000,21000,20000,21000,20000,21002,20000,21001,21000,21001,20000,21020,20000,21000,22100
leegt,21000,20001,22200,21000,20000,21000,21000,21000,21010,21010,21000,21000,21000,21002,21000,20000,21020,20020,21000,21000,21020,20020,21000,21000,21000,20000,21001,21001,21001,21001,21001,20001,20001,20000,21000,21002,21000,21000,22100,22100,22100,22100,22010,22200,22202,22200,22110,22110,22110,22010,22100,22100,22100,22000,22100,22000,22100,22100,22100,22010,22101,22001,22100,22100,22000,22100,22000,22101,22101,22100,22100,22100,22100,22100,20000,21000,21000,20002,21200,21000,21000,21000,21000,20000,21000,21000,20010,21000,21000,20010,21000,20010,20000,20000,21000,20002,21000,21000,20000,21000,21000,21001,20001,20000,20000,21000,20200,21110,21010,20010,21000,21000,21002,20000,20000,20010,21000,20000,20000,21000,21000,21000,21000,21000,21001,21001,20001,20001,21000,21000,21000,20002,21000,21000,21000,20000,21000,20000,21002,20000,21001,21000,21001,20000,21000,20000,21000,22100
leekt,21000,20001,22200,21000,20000,21000,21000,21000,21000,21000,21010,21010,21000,21002,21000,20000,21000,20000,21000,21000,21000,20000,21000,21000,21000,20000,21001,21001,21001,21001,21001,20001,20001,20000,21000,21002,21000,21000,22100,22100,22100,22100,22000,22200,22202,22200,22100,22100,22100,22000,22100,22110,22100,22010,22100,22000,22100,22100,22100,22000,22101,22001,22100,22100,22000,22100,22000,22101,22101,22100,22100,22100,22100,22100,20000,21000,21000,20002,21200,21000,21000,21000,21010,20010,21000,21000,20000,21000,21000,20000,21000,20000,20000,20000,21000,20002,21000,21000,20020,21000,21000,21001,20001,20000,20000,21000,20200,21100,21000,20000,21000,21010,21012,20010,20000,20000,21000,20000,20000,21000,21000,21000,21000,21000,21001,21001,20001,20001,21000,21000,21000,20002,21000,21000,21000,20000,21000,20000,21002,20000,21001,21000,21001,20000,21000,20000,21000,22100
leemt,21000,20001,22200,21000,20000,21000,21000,21000,21000,21000,21000,21000,21010,21012,21020,20000,21000,20000,21000,21000,21000,20000,21000,21000,21000,20000,21001,21001,21001,21001,21001,20001,20001,20000,21000,21002,21000,21000,22100,22100,22100,22100,22000,22200,22202,22200,22100,22100,22100,22000,22100,22100,22100,22000,22110,22020,22100,22100,22100,22000,22101,22001,22100,22100,22000,22100,22000,22101,22101,22100,22100,22100,22100,22100,20000,21000,21000,20002,21200,21000,21000,21000,21000,20000,21010,21010,20010,21000,21000,20000,21000,20000,20010,20010,21010,20012,21000,21000,20000,21000,21000,21001,20001,20000,20000,21000,20200,21100,21000,20000,21000,21000,21002,20000,20000,20010,21000,20000,20000,21000,21000,21000,21000,21000,21001,21001,20001,20001,21000,21000,21000,20002,21000,21000,21000,20000,21020,20000,21002,20000,21001,21000,21001,20000,21010,20000,21010,22100
leent,21000,20011,22200,21000,20000,21000,21010,21000,21010,21000,21000,21010,21000,21002,21000,20010,21010,20010,21000,21010,21000,20000,21000,21000,21000,20000,21001,21001,21011,21001,21001,20011,20001,20000,21010,21002,21010,21000,22100,22100,22110,22100,22000,22200,22202,22200,22110,22100,22100,22000,22110,22110,22100,22000,22110,22000,22110,22110,22110,22010,22111,22011,22110,22100,22000,22110,22000,22101,22101,22100,22110,22100,22110,22100,20010,21020,21000,20002,21200,21010,21000,21000,21010,20000,21010,21000,20000,21010,21010,20000,21010,20000,20010,20000,21000,20002,21010,21010,20010,21010,21000,21001,20001,20000,20000,21010,20220,21100,21010,20000,21000,21010,21002,20000,20000,20000,21010,20000,20000,21010,21000,21000,21000,21000,21011,21001,20001,20001,21010,21000,21010,20002,21000,21010,21000,20000,21000,20010,21012,20000,21001,21010,21001,20000,21000,20000,21010,22100
leert,21000,20001,22200,21000,20020,21000,21000,21010,21000,21010,21000,21000,21000,21002,21000,20000,21000,20000,21000,21010,21010,20010,21010,21010,21010,20000,21001,21001,21001,21011,21001,20001,20001,20000,21000,21002,21000,21010,22100,22100,22100,22110,22000,22220,22202,22200,22100,22110,22100,22000,22100,22100,22100,22000,22100,22000,22100,22100,22110,22000,22101,22001,22100,22100,22020,22110,22000,22101,22101,22100,22100,22110,22100,22110,20000,21000,21000,20002,21200,21000,21010,21000,21000,20000,21000,21010,20000,21000,21000,20000,21000,20000,20000,20000,21000,20002,21000,21000,20000,21000,21000,21011,20001,20000,20000,21000,20200,21100,21000,20000,21000,21000,21002,20000,20000,20000,21000,20000,20000,21000,21010,21020,21010,21000,21001,21001,20001,20001,21000,21010,21000,20002,21000,21000,21010,20000,21000,20000,21002,20000,21001,21000,21001,20020,21000,20000,21000,22100
legde,20002,20000,22001,20002,20000,21000,21010,21010,21200,21200,21000,21000,21000,21000,20002,20020,20102,20100,21000,21000,20102,20100,20002,20002,21000,20000,20002,21000,21000,21000,21000,20000,20000,20000,21000,21000,21000,21000,22002,22002,22011,22011,22110,22001,22001,22001,22201,22201,22201,22200,22001,22001,22002,22000,22001,22000,22022,22001,22001,22100,22002,22000,22002,22001,22000,22001,22000,22002,22002,22002,22001,22001,22001,22001,20000,20002,21000,20000,21002,21010,21010,20002,21000,20000,21000,21000,20100,21000,21000,20100,21000,20100,20000,20000,21000,20000,20022,20002,20000,20002,20002,21000,20000,20000,20000,21010,21000,21202,21200,20200,20002,21000,21000,20000,20000,20100,21000,20020,20000,21000,21000,20002,21000,20002,21000,20002,20000,20000,21000,21000,21000,20000,20022,21000,21000,20000,20002,20000,21000,20000,20002,21000,20002,20000,20002,20000,21000,22001
