Guess,kaaps,kamer,kenia,keuls,khmer,koerd,koran,kozak,kaard,kaars,kaart,kaats,kabas,kabel,kadee,kaden,kader,kadet,kaffa,kafir,kajak,kakel,kaken,kaker,kalen,kalig,kalis,kalle,kalot,kamen,kamer,kamig,kand1,kanen,kanis,kanji,kanon,kapel,kapen,kaper,kapje,kapok,kapot,kappa,karaf,karen,karet,karig,karma,karos,karot,karst,karw1,kasba,kassa,kaste,kater,katje,kauri,kavel,kazak,kazen,kazer,kebab,kebon,kefir,kegel,kegge,keken,keker,kelen,kelim,kemel,kenau,kendo,kenen,kepen,keper,kepie,kerel,keren,kerks,kerst,ketel,keten,ketje,keurs,keuze,kevel,keven,kever,kevie,kezen,kidde,kieuw,k1ken,k1ker,k1ven,k1ver,kille,kilte,kimme,kinds,kinky,kiosk,klaaf,klaar,klaas,klamp,klank,klant,klare,klats,klauw,kled1,kleed,kleef,klein,klerk,klets,kleun,kleur,kliek,klier,kling,klink,kloef,kloek,kloet,klojo,klomp,klonk,klont,kloof,klooi,kloon,kloot,klote,klove,kluft,kluif,kluis,kluit,kluns,kluts,kluut,knaak,knaap,knauw,kneep,kneus,knier,knoei,knoet,knook,knoop,knorf,knots,koala,kobbe,kocht,kodak,kodde,koers,koest,koets,kogel,kogge,koine,koken,koker,koket,kokos,kolen,kolom,kolos,komaf,komen,kom1n,komma,komst,kon1n,koord,kopal,kopen,koper,kopie,kopra,koran,koren,korps,korre,korst,koste,koten,koter,koude,kovel,kozak,kozen,koz1n,kraag,kraai,kraak,kraal,kraam,kraan,krach,kramp,krank,krans,krant,krats,krauw,kreeg,kreek,krees,kreet,kreng,krent,kreuk,kriek,kriel,krill,krimi,krimp,kring,kroeg,kroep,kroes,krols,kromp,kroon,kroop,kroos,kroot,kruid,kruif,kruik,kruim,kruin,kruis,kruit,kubbe,kubus,kudde,kuier,kuise,kuist,kulas,kunde,kunst,kuras,kuren,kwaad,kwaal,kwade,kwant,kwark,kwart,kwast,kwats,kweek,kween,kwelm,kwets,kwiek,kwint,kwips,kawai,krapa,kliko
kucht,20000,20000,20000,21000,20010,20000,20000,20000,20000,20000,20002,20001,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20002,20000,20000,20000,20002,20000,20000,20000,20002,20002,20000,20000,20000,20001,20001,20001,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20000,20000,20000,20000,20000,20000,20000,20000,20002,20001,20001,20001,21000,21000,20000,20000,20000,20000,20000,20000,21000,20000,20000,20000,20000,20000,20001,20000,20000,20000,20000,20000,20000,20000,20000,20000,20002,20000,20001,21000,20000,20000,20000,20000,20000,20001,21000,21000,20000,20000,20000,20000,20000,20000,20002,20000,20000,20000,20002,20000,20000,20000,20002,20001,20000,21002,21000,21000,21002,21000,21001,21002,20000,20000,21000,20000,21000,20000,20000,20002,20000,20000,20000,20001,20000,20000,20222,20000,20000,20000,20002,20001,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20002,20001,20001,20001,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20110,20000,20000,20000,20002,20001,21000,20000,20000,20000,20002,20000,20002,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20002,21000,21000,21000,21000,21000,21000,21002,22000,22000,22000,22000,22000,22002,22000,22000,22002,22000,22000,20000,20000,20000,20002,20000,20002,20002,20001,20000,20000,20000,20001,20000,20002,20000,20000,20000,20000
kuift,20000,20000,20100,21000,20000,20000,20000,20000,20000,20000,20002,20001,20000,20000,20000,20000,20000,20002,20020,20110,20000,20000,20000,20000,20000,20100,20100,20000,20002,20000,20000,20100,20000,20000,20100,20100,20000,20000,20000,20000,20000,20000,20002,20000,20010,20000,20002,20100,20000,20000,20002,20002,20000,20000,20000,20001,20001,20001,21100,20000,20000,20000,20000,20000,20000,20110,20000,20000,20000,20000,20000,20100,20000,21000,20000,20000,20000,20000,20100,20000,20000,20000,20002,20001,20001,20001,21000,21000,20000,20000,20000,20100,20000,20100,21100,20000,20000,20000,20000,20100,20101,20100,20100,20100,20100,20010,20000,20000,20000,20000,20002,20000,20001,21000,20000,20000,20010,20100,20000,20001,21000,21000,20200,20200,20200,20200,20010,20000,20002,20000,20000,20000,20002,20010,20100,20000,20002,20001,20000,21022,21110,21100,21102,21000,21001,21002,20000,20000,21000,20000,21000,20200,20100,20002,20000,20000,20010,20001,20000,20000,20002,20000,20000,20000,20002,20001,20000,20000,20200,20000,20000,20002,20000,20000,20000,20000,20010,20000,20000,20000,20002,20000,20000,20000,20000,20000,20100,20000,20000,20000,20000,20000,20002,20001,20001,20001,21000,20000,20000,20000,20000,20000,20100,20000,20000,20000,20000,20000,20000,20000,20000,20002,20001,21000,20000,20000,20000,20002,20000,20002,21000,20200,20200,20200,20200,20200,20200,20000,20000,20000,20000,20000,20000,20000,20000,20002,21100,21110,21100,21100,21100,21100,21102,22000,22000,22000,22200,22200,22202,22000,22000,22002,22000,22000,20000,20000,20000,20002,20000,20002,20002,20001,20000,20000,20000,20001,20200,20202,20200,20100,20000,20200
kuilt,20000,20000,20100,21020,20000,20000,20000,20000,20000,20000,20002,20001,20000,20010,20000,20000,20000,20002,20000,20100,20000,20010,20000,20000,20010,20110,20110,20020,20012,20000,20000,20100,20000,20000,20100,20100,20000,20010,20000,20000,20000,20000,20002,20000,20000,20000,20002,20100,20000,20000,20002,20002,20000,20000,20000,20001,20001,20001,21100,20010,20000,20000,20000,20000,20000,20100,20010,20000,20000,20000,20010,20110,20010,21000,20000,20000,20000,20000,20100,20010,20000,20000,20002,20011,20001,20001,21000,21000,20010,20000,20000,20100,20000,20100,21100,20000,20000,20000,20000,20120,20111,20100,20100,20100,20100,20010,20010,20010,20010,20010,20012,20010,20011,21010,20010,20010,20010,20110,20010,20011,21010,21010,20210,20210,20210,20210,20010,20010,20012,20010,20010,20010,20012,20010,20110,20010,20012,20011,20010,21012,21110,21110,21112,21010,21011,21012,20000,20000,21000,20000,21000,20200,20100,20002,20000,20000,20000,20001,20020,20000,20002,20000,20000,20000,20002,20001,20010,20000,20200,20000,20000,20002,20000,20010,20010,20010,20000,20000,20000,20000,20002,20000,20000,20010,20000,20000,20100,20000,20000,20000,20000,20000,20002,20001,20001,20001,21000,20010,20000,20000,20000,20000,20100,20000,20010,20000,20000,20000,20000,20000,20000,20002,20001,21000,20000,20000,20000,20002,20000,20002,21000,20200,20210,20220,20200,20200,20200,20000,20000,20000,20020,20000,20000,20000,20000,20002,21100,21100,21100,21100,21100,21100,21102,22000,22000,22000,22200,22200,22202,22010,22000,22002,22000,22000,20000,20010,20000,20002,20000,20002,20002,20001,20000,20000,20020,20001,20200,20202,20200,20100,20000,20210
kuipt,20020,20000,20100,21000,20000,20000,20000,20000,20000,20000,20002,20001,20000,20000,20000,20000,20000,20002,20000,20100,20000,20000,20000,20000,20000,20100,20100,20000,20002,20000,20000,20100,20000,20000,20100,20100,20000,20010,20010,20010,20010,20010,20012,20020,20000,20000,20002,20100,20000,20000,20002,20002,20000,20000,20000,20001,20001,20001,21100,20000,20000,20000,20000,20000,20000,20100,20000,20000,20000,20000,20000,20100,20000,21000,20000,20000,20010,20010,20110,20000,20000,20000,20002,20001,20001,20001,21000,21000,20000,20000,20000,20100,20000,20100,21100,20000,20000,20000,20000,20100,20101,20100,20100,20100,20100,20000,20000,20000,20010,20000,20002,20000,20001,21000,20000,20000,20000,20100,20000,20001,21000,21000,20200,20200,20200,20200,20000,20000,20002,20000,20010,20000,20002,20000,20100,20000,20002,20001,20000,21002,21100,21100,21102,21000,21001,21002,20000,20010,21000,20010,21000,20200,20100,20002,20000,20010,20000,20001,20000,20000,20002,20000,20000,20000,20002,20001,20000,20000,20200,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20002,20000,20000,20010,20010,20010,20110,20010,20000,20000,20020,20000,20002,20001,20001,20001,21000,20000,20000,20000,20000,20000,20100,20000,20000,20000,20000,20000,20010,20000,20000,20002,20001,21000,20000,20000,20000,20002,20000,20002,21000,20200,20200,20200,20200,20210,20200,20000,20010,20000,20000,20010,20000,20010,20000,20002,21100,21100,21100,21100,21100,21100,21102,22000,22000,22000,22200,22200,22202,22000,22000,22002,22000,22000,20000,20000,20000,20002,20000,20002,20002,20001,20000,20000,20000,20001,20200,20202,20220,20100,20020,20200
kulde,20000,20001,20001,21101,20001,20011,20000,20000,20010,20000,20000,20000,20000,20101,20012,20011,20011,20011,20000,20000,20000,20101,20001,20001,20201,20200,20200,20202,20200,20001,20001,20000,20020,20001,20000,20000,20000,20101,20001,20001,20002,20000,20000,20000,20000,20001,20001,20000,20000,20000,20000,20000,20000,20000,20000,20002,20001,20002,21000,20101,20000,20001,20001,20001,20001,20001,20101,20002,20001,20001,20201,20201,20101,21001,20021,20001,20001,20001,20002,20101,20001,20001,20001,20101,20001,20002,21001,21002,20101,20001,20001,20002,20001,20022,21001,20001,20001,20001,20001,20202,20202,20002,20020,20000,20000,20100,20100,20100,20100,20100,20100,20102,20100,21100,20121,20111,20101,20101,20101,20101,21101,21101,20101,20101,20100,20100,20101,20101,20101,20100,20100,20100,20100,20100,20100,20100,20100,20102,20102,21100,21100,21100,21100,21100,21100,21100,20000,20000,21000,20001,21001,20001,20001,20001,20000,20000,20000,20000,20100,20002,20000,20010,20022,20001,20001,20001,20101,20002,20002,20001,20001,20001,20000,20201,20200,20200,20000,20001,20000,20000,20000,20000,20010,20100,20001,20001,20002,20000,20000,20001,20000,20002,20000,20002,20001,20001,21022,20101,20000,20001,20000,20000,20000,20000,20100,20000,20000,20000,20000,20000,20000,20000,20000,21000,20001,20001,20001,20001,20001,20001,21001,20001,20101,20100,20000,20000,20000,20001,20001,20001,20100,20000,20000,20000,20000,20000,21010,21000,21000,21000,21000,21000,21000,22002,22000,22022,22001,22002,22000,22200,22022,22000,22000,22001,20010,20100,20022,20000,20000,20000,20000,20000,20001,20001,20101,20001,20001,20000,20000,20000,20000,20100
kurkt,20000,20100,20000,21000,20100,20100,20200,20010,20100,20100,20102,20001,20000,20000,20000,20000,20100,20002,20000,20100,20010,20010,20010,20110,20000,20000,20000,20000,20002,20000,20100,20000,20000,20000,20000,20000,20000,20000,20000,20100,20000,20010,20002,20000,20200,20200,20202,20200,20200,20200,20202,20202,20200,20000,20000,20001,20101,20001,21100,20000,20010,20000,20100,20000,20000,20100,20000,20000,20010,20110,20000,20000,20000,21000,20000,20000,20000,20100,20000,20200,20200,20220,20202,20001,20001,20001,21100,21000,20000,20000,20100,20000,20000,20000,21000,20010,20110,20000,20100,20000,20001,20000,20000,20020,20010,20000,20100,20000,20000,20010,20002,20100,20001,21000,20000,20000,20000,20000,20110,20001,21000,21100,20010,20100,20000,20010,20000,20010,20002,20000,20000,20010,20002,20000,20000,20000,20002,20001,20000,21002,21000,21000,21002,21000,21001,21002,20010,20000,21000,20000,21000,20100,20000,20002,20010,20000,20100,20001,20000,20000,20002,20010,20000,20100,20002,20001,20000,20000,20000,20010,20110,20012,20010,20000,20000,20000,20000,20000,20000,20000,20002,20000,20100,20000,20000,20100,20000,20100,20200,20200,20200,20200,20202,20001,20001,20101,21000,20000,20010,20000,20000,20100,20100,20110,20100,20100,20100,20100,20100,20110,20100,20102,20101,21100,20100,20110,20100,20102,20100,20102,21110,20110,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20102,21100,21100,21110,21100,21100,21100,21102,22000,22000,22000,22100,22000,22002,22000,22000,22002,22200,22200,20000,20000,20000,20002,20110,20102,20002,20001,20010,20000,20000,20001,20010,20002,20000,20000,20100,20020
kusje,20100,20001,20001,21101,20001,20001,20000,20000,20000,20100,20000,20100,20100,20001,20002,20001,20001,20001,20000,20000,20010,20001,20001,20001,20001,20000,20100,20002,20000,20001,20001,20000,20000,20001,20100,20020,20000,20001,20001,20001,20022,20000,20000,20000,20000,20001,20001,20000,20000,20100,20000,20100,20000,20200,20200,20202,20001,20022,21000,20001,20000,20001,20001,20001,20001,20001,20001,20002,20001,20001,20001,20001,20001,21001,20001,20001,20001,20001,20002,20001,20001,20101,20101,20001,20001,20022,21101,21002,20001,20001,20001,20002,20001,20002,21001,20001,20001,20001,20001,20002,20002,20002,20100,20000,20100,20000,20000,20100,20000,20000,20000,20002,20100,21000,20001,20001,20001,20001,20001,20101,21001,21001,20001,20001,20000,20000,20001,20001,20001,20020,20000,20000,20000,20000,20000,20000,20000,20002,20002,21000,21000,21100,21000,21100,21100,21000,20000,20000,21000,20001,21101,20001,20001,20001,20000,20000,20000,20100,20000,20002,20000,20000,20002,20101,20101,20101,20001,20002,20002,20001,20001,20001,20100,20001,20000,20100,20000,20001,20000,20000,20100,20000,20000,20000,20001,20001,20002,20000,20000,20001,20100,20002,20100,20202,20001,20001,21002,20001,20000,20001,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20100,20000,20100,21000,20001,20001,20101,20001,20001,20001,21001,20001,20001,20000,20000,20000,20000,20001,20001,20101,20100,20000,20000,20000,20100,20000,21000,21000,21000,21000,21000,21100,21000,22002,22100,22002,22001,22102,22100,22100,22002,22100,22100,22001,20000,20000,20002,20000,20000,20000,20100,20100,20001,20001,20001,20101,20001,20000,20100,20000,20000,20000
kuste,20100,20001,20001,21101,20001,20001,20000,20000,20000,20100,20010,20120,20100,20001,20002,20001,20001,20011,20000,20000,20000,20001,20001,20001,20001,20000,20100,20002,20010,20001,20001,20000,20000,20001,20100,20000,20000,20001,20001,20001,20002,20000,20010,20000,20000,20001,20011,20000,20000,20100,20010,20110,20000,20200,20200,20222,20011,20012,21000,20001,20000,20001,20001,20001,20001,20001,20001,20002,20001,20001,20001,20001,20001,21001,20001,20001,20001,20001,20002,20001,20001,20101,20111,20011,20011,20012,21101,21002,20001,20001,20001,20002,20001,20002,21001,20001,20001,20001,20001,20002,20022,20002,20100,20000,20100,20000,20000,20100,20000,20000,20010,20002,20120,21000,20001,20001,20001,20001,20001,20121,21001,21001,20001,20001,20000,20000,20001,20001,20011,20000,20000,20000,20010,20000,20000,20000,20010,20022,20002,21010,21000,21100,21010,21100,21120,21010,20000,20000,21000,20001,21101,20001,20001,20011,20000,20000,20000,20120,20000,20002,20010,20000,20002,20101,20111,20121,20001,20002,20002,20001,20001,20011,20100,20001,20000,20100,20000,20001,20000,20000,20110,20000,20000,20000,20001,20001,20002,20000,20000,20001,20100,20002,20110,20222,20011,20011,21002,20001,20000,20001,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20100,20010,20120,21000,20001,20001,20101,20011,20001,20011,21001,20001,20001,20000,20000,20000,20000,20001,20001,20101,20100,20000,20000,20000,20100,20010,21000,21000,21000,21000,21000,21100,21010,22002,22100,22002,22001,22102,22110,22100,22002,22110,22100,22001,20000,20000,20002,20010,20000,20010,20110,20120,20001,20001,20001,20121,20001,20010,20100,20000,20000,20000
kutje,20000,20001,20001,21001,20001,20001,20000,20000,20000,20000,20100,20100,20000,20001,20002,20001,20001,20101,20000,20000,20010,20001,20001,20001,20001,20000,20000,20002,20100,20001,20001,20000,20000,20001,20000,20020,20000,20001,20001,20001,20022,20000,20100,20000,20000,20001,20101,20000,20000,20000,20100,20100,20000,20000,20000,20102,20201,20222,21000,20001,20000,20001,20001,20001,20001,20001,20001,20002,20001,20001,20001,20001,20001,21001,20001,20001,20001,20001,20002,20001,20001,20001,20101,20201,20201,20222,21001,21002,20001,20001,20001,20002,20001,20002,21001,20001,20001,20001,20001,20002,20102,20002,20000,20000,20000,20000,20000,20000,20000,20000,20100,20002,20100,21000,20001,20001,20001,20001,20001,20101,21001,21001,20001,20001,20000,20000,20001,20001,20101,20020,20000,20000,20100,20000,20000,20000,20100,20102,20002,21100,21000,21000,21100,21000,21100,21100,20000,20000,21000,20001,21001,20001,20001,20101,20000,20000,20000,20100,20000,20002,20100,20000,20002,20001,20101,20101,20001,20002,20002,20001,20001,20101,20000,20001,20000,20000,20000,20001,20000,20000,20100,20000,20000,20000,20001,20001,20002,20000,20000,20001,20000,20002,20100,20102,20201,20201,21002,20001,20000,20001,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20100,20100,21000,20001,20001,20001,20101,20001,20101,21001,20001,20001,20000,20000,20000,20000,20001,20001,20001,20000,20000,20000,20000,20000,20100,21000,21000,21000,21000,21000,21000,21100,22002,22000,22002,22001,22002,22100,22000,22002,22100,22000,22001,20000,20000,20002,20100,20000,20100,20100,20100,20001,20001,20001,20101,20001,20100,20000,20000,20000,20000
kuurt,20000,20010,20000,20200,20010,20020,20010,20000,20020,20020,20022,20001,20000,20000,20000,20000,20010,20002,20000,20010,20000,20000,20000,20010,20000,20000,20000,20000,20002,20000,20010,20000,20000,20000,20000,20000,20000,20000,20000,20010,20000,20000,20002,20000,20010,20010,20012,20010,20010,20010,20012,20012,20010,20000,20000,20001,20011,20001,20220,20000,20000,20000,20010,20000,20000,20010,20000,20000,20000,20010,20000,20000,20000,21000,20000,20000,20000,20010,20000,20010,20010,20010,20012,20001,20001,20001,20220,20200,20000,20000,20010,20000,20000,20000,21000,20000,20010,20000,20010,20000,20001,20000,20000,20000,20000,20000,20010,20000,20000,20000,20002,20020,20001,21000,20000,20000,20000,20000,20020,20001,21000,21010,20000,20010,20000,20000,20000,20000,20002,20000,20000,20000,20002,20000,20000,20000,20002,20001,20000,20202,20200,20200,20202,20200,20201,21202,20000,20000,21000,20000,21000,20010,20000,20002,20000,20000,20020,20001,20000,20000,20002,20000,20000,20020,20002,20001,20000,20000,20000,20000,20010,20002,20000,20000,20000,20000,20000,20000,20000,20000,20002,20000,20020,20000,20000,20010,20000,20020,20010,20010,20010,20020,20012,20001,20001,20011,20200,20000,20000,20000,20000,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20012,20011,21010,20010,20010,20010,20012,20010,20012,21010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20012,20210,20210,20210,20210,20210,20210,20212,22000,22100,22000,22010,22000,22002,22000,22000,22002,22010,22010,20000,20000,20000,20002,20020,20022,20002,20001,20000,20000,20000,20001,20000,20002,20000,20000,20010,20000
kwaak,20210,20100,20100,20000,20000,20000,20020,20022,20210,20210,20210,20210,20120,20100,20100,20100,20100,20100,20110,20100,20122,20101,20101,20101,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20102,20100,20110,20120,20100,20100,20100,20110,20100,20100,20100,21100,20110,20110,20100,20100,20100,20100,20100,20122,20100,20100,20020,20000,20000,20000,20000,20001,20001,20000,20000,20000,20020,20000,20000,20000,20000,20000,20000,20000,20001,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20001,20001,20000,20000,20000,20000,20000,20000,20001,20002,20220,20220,20220,20200,20202,20200,20200,20200,21200,20000,20000,20000,20000,20002,20000,20000,20000,20002,20000,20000,20002,20000,20002,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20222,20220,21200,20000,20000,20000,20000,20000,20002,20000,20000,20000,20210,20000,20000,20022,20000,20000,20000,20000,20000,20000,20000,20001,20001,20001,20001,20000,20000,20000,20020,20000,20000,20100,20000,20000,20000,20020,20000,20000,20000,20100,20020,20000,20000,20000,20000,20000,20000,20000,20000,20000,20022,20000,20000,20220,20220,20222,20220,20220,20220,20200,20200,20202,20200,20200,20200,21200,20000,20002,20000,20000,20000,20000,20002,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20020,20000,20000,20020,20000,22220,22220,22200,22200,22202,22200,22200,22200,22002,22000,22000,22000,22002,22000,22000,21120,20210,20001
kwakt,20200,20100,20100,20000,20000,20000,20100,20110,20200,20200,20202,20201,20100,20100,20100,20100,20100,20102,20100,20100,20110,20110,20110,20110,20100,20100,20100,20100,20102,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20110,20102,20100,20100,20100,20102,20100,20100,20100,20102,20102,21100,20100,20100,20101,20101,20101,20100,20100,20110,20100,20100,20100,20000,20000,20000,20000,20010,20010,20000,20000,20000,20100,20000,20000,20000,20000,20000,20000,20000,20020,20002,20001,20001,20001,20000,20000,20000,20000,20000,20000,20000,20000,21000,20010,20010,20000,20000,20000,20001,20000,20000,20020,20010,20200,20200,20200,20200,20210,20202,20200,20201,21200,20000,20000,20000,20000,20010,20001,20000,20000,20010,20000,20000,20010,20000,20010,20002,20000,20000,20010,20002,20000,20000,20000,20002,20001,20000,20002,20000,20000,20002,20000,20001,20002,20210,20200,21200,20000,20000,20000,20000,20002,20010,20000,20000,20001,20200,20000,20002,20110,20000,20000,20002,20001,20000,20000,20000,20010,20010,20012,20010,20000,20000,20000,20100,20000,20000,20100,20002,20000,20000,20100,20000,20000,20000,20100,20100,20000,20000,20000,20002,20001,20001,20001,20000,20000,20110,20000,20000,20200,20200,20210,20200,20200,20200,20200,20200,20210,20200,20202,20201,21200,20000,20010,20000,20002,20000,20002,20010,20010,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20002,20000,20000,20010,20000,20000,20000,20002,20000,20000,20000,20000,20000,20002,20100,20000,20002,20100,20000,22200,22200,22200,22202,22210,22202,22202,22201,22010,22000,22000,22001,22010,22002,22000,21100,20200,20020
kweel,20000,20020,20100,20101,20020,20200,20000,20000,20000,20000,20000,20000,20000,20022,20120,20020,20020,20020,20000,20000,20000,20022,20020,20020,20021,20001,20001,20101,20001,20020,20020,20000,20000,20020,20000,20000,20000,20022,20020,20020,20100,20000,20000,20000,20000,20020,20020,20000,20000,20000,20000,20000,21000,20000,20000,20100,20020,20100,20000,20022,20000,20020,20020,20100,20100,20100,20122,20110,20120,20120,20121,20101,20122,20100,20100,20120,20120,20120,20110,20122,20120,20100,20100,20122,20120,20110,20100,20110,20122,20120,20120,20110,20120,20100,21200,20020,20020,20020,20020,20101,20101,20100,20000,20000,20000,20001,20001,20001,20001,20001,20001,20101,20001,21001,20201,20221,20221,20201,20201,20201,20201,20201,20021,20021,20001,20001,20021,20021,20021,20001,20001,20001,20001,20001,20001,20001,20001,20101,20101,20001,20001,20001,20001,20001,20001,20001,20000,20000,21000,20220,20200,20020,20020,20020,20000,20000,20000,20000,20001,20100,20000,20000,20100,20200,20200,20200,20022,20100,20100,20020,20020,20020,20000,20021,20001,20001,20000,20020,20000,20000,20000,20000,20000,20002,20020,20020,20100,20000,20000,20020,20000,20100,20000,20100,20020,20020,20100,20022,20000,20020,20000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,21000,20220,20220,20220,20220,20200,20200,20200,20020,20022,20002,20000,20000,20000,20020,20020,20020,20001,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20100,20000,20100,20020,20100,20000,20001,20100,20000,20000,20020,22000,22002,22100,22000,22000,22000,22000,22000,22220,22220,22201,22200,22020,22000,22000,21000,20000,20001
kweet,20000,20020,20100,20100,20020,20200,20000,20000,20000,20000,20002,20001,20000,20020,20120,20020,20020,20022,20000,20000,20000,20020,20020,20020,20020,20000,20000,20100,20002,20020,20020,20000,20000,20020,20000,20000,20000,20020,20020,20020,20100,20000,20002,20000,20000,20020,20022,20000,20000,20000,20002,20002,21000,20000,20000,20101,20021,20101,20000,20020,20000,20020,20020,20100,20100,20100,20120,20110,20120,20120,20120,20100,20120,20100,20100,20120,20120,20120,20110,20120,20120,20100,20102,20121,20121,20111,20100,20110,20120,20120,20120,20110,20120,20100,21200,20020,20020,20020,20020,20100,20101,20100,20000,20000,20000,20000,20000,20000,20000,20000,20002,20100,20001,21000,20200,20220,20220,20200,20200,20201,20200,20200,20020,20020,20000,20000,20020,20020,20022,20000,20000,20000,20002,20000,20000,20000,20002,20101,20100,20002,20000,20000,20002,20000,20001,20002,20000,20000,21000,20220,20200,20020,20020,20022,20000,20000,20000,20001,20000,20100,20002,20000,20100,20200,20202,20201,20020,20100,20100,20020,20020,20022,20000,20020,20000,20000,20000,20020,20000,20000,20002,20000,20000,20000,20020,20020,20100,20000,20000,20020,20000,20100,20002,20101,20021,20021,20100,20020,20000,20020,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20002,20001,21000,20220,20220,20220,20222,20200,20202,20200,20020,20020,20000,20000,20000,20000,20020,20020,20020,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20002,20100,20000,20100,20020,20100,20002,20000,20100,20002,20000,20020,22000,22000,22100,22002,22000,22002,22002,22001,22220,22220,22200,22201,22020,22002,22000,21000,20000,20000
kwekt,20000,20100,20100,20100,20100,20200,20000,20010,20000,20000,20002,20001,20000,20100,20100,20100,20100,20102,20000,20000,20010,20110,20110,20110,20100,20000,20000,20100,20002,20100,20100,20000,20000,20100,20000,20000,20000,20100,20100,20100,20100,20010,20002,20000,20000,20100,20102,20000,20000,20000,20002,20002,21000,20000,20000,20101,20101,20101,20000,20100,20010,20100,20100,20100,20100,20100,20100,20100,20110,20110,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20100,20120,20102,20101,20101,20101,20100,20100,20100,20100,20100,20100,20100,20100,21200,20110,20110,20100,20100,20100,20101,20100,20000,20020,20010,20000,20000,20000,20000,20010,20002,20100,20001,21000,20200,20200,20200,20200,20210,20201,20200,20200,20110,20100,20000,20010,20100,20110,20102,20000,20000,20010,20002,20000,20000,20000,20002,20101,20100,20002,20000,20000,20002,20000,20001,20002,20010,20000,21000,20200,20200,20100,20100,20102,20010,20000,20000,20001,20000,20100,20002,20010,20100,20200,20202,20201,20100,20100,20100,20110,20110,20112,20010,20100,20000,20000,20000,20100,20000,20000,20002,20000,20000,20000,20100,20100,20100,20000,20000,20100,20000,20100,20002,20101,20101,20101,20100,20100,20010,20100,20000,20000,20000,20010,20000,20000,20000,20000,20000,20010,20000,20002,20001,21000,20200,20210,20200,20202,20200,20202,20210,20110,20100,20000,20000,20000,20000,20100,20100,20100,20000,20000,20000,20000,20000,20002,20000,20000,20010,20000,20000,20000,20002,20100,20000,20100,20100,20100,20002,20000,20100,20002,20000,20100,22000,22000,22100,22002,22010,22002,22002,22001,22210,22200,22200,22201,22110,22002,22000,21000,20000,20020
