Guess,gents,ghana,gouds,griek,gaard,gabbe,gaden,gaffe,gagel,gaine,gajes,galei,galon,galop,gamba,gamel,gamen,gamer,gamma,gapen,gaper,garde,garen,garoe,garve,gaten,gaven,gazel,gazen,gazet,gazon,gebak,gebbe,gebed,gebel,gebit,gebod,gedag,gedoe,geduw,geest,geeuw,gegil,geh1g,gehol,geien,ge1kt,gejou,gekef,gek1f,gekir,gekko,gekte,gelag,gelal,gelee,gelei,gelen,gelid,gelig,gel1k,gelik,gelui,geluk,gelul,geluw,gemak,gemet,gemis,gemok,gemor,gemot,genet,genie,genot,genre,genus,gepuf,gerei,geren,gerst,gesar,gesco,gesel,gesis,gesol,geste,getal,getik,getob,getto,geuze,geval,gevat,gevel,geven,gever,gevl1,gevr1,gewag,gewas,gewei,gew1d,gewin,gewis,gezag,gezel,gezet,gezin,gibus,gigue,g1pen,gilde,gilet,ginds,ginst,gipsy,giraf,glans,gleed,gleis,gleuf,glimp,globe,gloed,gloop,gloor,gneis,gnoom,goden,godin,goede,gogme,gojim,golem,gonje,gorig,gouwe,gozer,graad,graaf,graag,graai,graal,graan,graat,grauw,green,greep,grein,grens,grief,griek,griel,griep,gries,griet,grift,gr1ns,grill,grime,grind,grint,griot,groef,groei,groen,groep,groet,grond,groot,grote,gruis,guano,guave,gummi,gunst,guppy,gyros,ger1m,geram,gebal,geoha,gomma,gauss
garft,20001,21000,20000,20100,22100,22000,22000,22020,22000,22000,22000,22000,22000,22000,22000,22000,22000,22100,22000,22000,22100,22200,22200,22200,22200,22001,22000,22000,22000,22002,22000,21000,20000,20000,20000,20002,20000,21000,20000,20000,20002,20000,20000,20000,20000,20000,20002,20000,20010,20010,20100,20000,20001,21000,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,20002,20000,20000,20100,20002,20002,20000,20002,20100,20000,20010,20200,20200,20202,21100,20000,20000,20000,20000,20001,21001,20001,20001,20001,20000,21000,21002,20000,20000,20100,20000,20100,21000,21000,20000,20000,20000,20000,21000,20000,20002,20000,20000,20000,20000,20000,20002,20000,20002,20000,21210,21000,20000,20000,20010,20000,20000,20000,20000,20100,20000,20000,20000,20000,20000,20000,20000,20000,20000,20200,20000,20100,21100,21110,21100,21100,21100,21100,21102,21100,20100,20100,20100,20100,20110,20100,20100,20100,20100,20102,20122,20100,20100,20100,20100,20102,20102,20110,20100,20100,20100,20102,20100,20102,20101,20100,21000,21000,20000,20002,20000,20200,20200,21200,21000,21000,21000,22000
gasla,20100,21002,20100,20000,22001,22000,22000,22000,22010,22000,22100,22010,22010,22010,22002,22010,22000,22000,22002,22000,22000,22000,22000,22000,22000,22000,22000,22010,22000,22000,22000,21000,20000,20000,20010,20000,20000,21000,20000,20000,20100,20000,20010,20000,20010,20000,20000,20000,20000,20000,20000,20000,20000,21010,21010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,20010,21000,20000,20100,20000,20000,20000,20000,20000,20000,20000,20100,20000,20000,20000,20100,21200,20200,20210,20200,20210,20200,21010,20000,20000,20000,20000,21010,21000,20010,20000,20000,20020,20000,21000,21100,20000,20000,20000,20100,21000,20010,20000,20000,20100,20000,20000,20010,20010,20100,20100,20100,21000,21110,20010,20110,20010,20010,20010,20010,20010,20010,20100,20000,20000,20000,20000,20000,20000,20010,20000,20000,20000,20000,21001,21001,21001,21001,21011,21001,21001,21000,20000,20000,20000,20100,20000,20000,20010,20000,20100,20000,20000,20100,20020,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20100,21000,21000,20000,20100,20000,20100,20000,21000,21010,20002,20002,22100
gaste,20121,21000,20100,20001,22000,22002,22001,22002,22001,22002,22101,22001,22000,22000,22000,22001,22001,22001,22000,22001,22001,22002,22001,22002,22002,22011,22001,22001,22001,22011,22000,21001,20002,20001,20001,20011,20001,21001,20002,20001,20111,20001,20001,20001,20001,20001,20011,20001,20001,20001,20001,20001,20022,21001,21001,20002,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,21001,20011,20101,20001,20001,20011,20011,20002,20011,20002,20101,20001,20001,20001,20111,21201,20201,20201,20201,20201,20222,21011,20011,20011,20021,20002,21001,21011,20001,20001,20001,20001,20001,21001,21101,20001,20001,20001,20101,21001,20001,20011,20001,20100,20002,20001,20002,20011,20100,20110,20100,21000,21100,20001,20101,20001,20000,20002,20001,20000,20000,20101,20000,20001,20000,20002,20002,20000,20001,20002,20000,20002,20001,21000,21000,21000,21000,21000,21000,21010,21000,20001,20001,20001,20101,20001,20001,20001,20001,20101,20011,20010,20100,20000,20002,20000,20010,20010,20001,20001,20001,20001,20011,20000,20010,20022,20100,21000,21002,20000,20110,20000,20100,20001,21001,21001,21001,21000,22100
gaver,20010,21000,20000,20021,22001,22010,22020,22010,22020,22010,22020,22020,22000,22000,22000,22020,22020,22022,22000,22020,22022,22011,22021,22011,22111,22020,22220,22020,22020,22020,22000,21010,20010,20020,20020,20010,20010,21010,20010,20010,20010,20010,20010,20010,20010,20020,20010,20010,20020,20010,20012,20010,20010,21010,21010,20020,20020,20020,20010,20010,20010,20010,20010,20010,20010,20010,21010,20020,20010,20010,20012,20010,20020,20010,20010,20011,20010,20010,20021,20021,20011,21012,20010,20020,20010,20010,20010,21010,20010,20010,20010,20010,21210,21210,20220,20220,20222,20210,20211,21010,21010,20020,20010,20010,20010,21010,20020,20020,20010,20000,20010,20020,20010,20020,20000,20000,20000,21001,21000,20020,20010,20010,20000,20010,20020,20000,20002,20010,20000,20020,20000,20010,20010,20000,20020,20010,20001,20010,20022,21001,21001,21001,21001,21001,21001,21001,21001,20021,20021,20011,20011,20021,20021,20021,20021,20021,20021,20001,20001,20001,20011,20001,20001,20001,20021,20021,20021,20021,20021,20001,20001,20011,20001,21000,21110,20000,20000,20000,20001,20011,21011,21010,21010,21000,22000
geard,22000,20200,20001,21010,20222,21100,21101,21100,21100,21100,21100,21100,20100,20100,20100,21100,21100,21110,20100,21100,21110,21111,21110,21110,21110,21100,21100,21100,21100,21100,20100,22100,22000,22002,22000,22000,22002,22101,22001,22001,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22010,22000,22000,22100,22100,22000,22000,22000,22002,22000,22000,22000,22000,22000,22000,22000,22100,22000,22000,22000,22010,22000,22000,22000,22000,22020,22000,22000,22010,22010,22010,22110,22000,22000,22000,22000,22000,22100,22000,22000,22000,22000,22100,22100,22000,22000,22010,22000,22020,22100,22100,22000,22002,22000,22000,22100,22000,22000,22000,20000,21000,21000,21001,21000,20001,20000,20000,20110,20200,21002,21000,21000,20000,21000,21002,20000,20010,21000,20000,21001,20001,21001,21000,20000,21000,21000,20010,21000,21010,20212,20210,20210,20210,20210,20210,20210,20210,21010,21010,21010,21010,21010,21010,21010,21010,21010,21010,20010,20010,20010,21010,20012,20010,20010,21010,21010,21010,21010,21010,20012,20010,21010,20010,20200,21200,20000,20000,20000,20010,22010,22110,22100,22100,20100,20100
gebet,22001,20000,20000,20020,20000,21200,20020,21000,20020,21000,20020,20020,20000,20000,20100,20020,20020,20020,20000,20020,20020,21000,20020,21000,21000,20021,20020,20020,20020,20022,20000,22200,22210,22220,22220,22202,22200,22000,22010,22000,22012,22010,22000,22000,22000,22020,22002,22000,22020,22000,22000,22000,22011,22000,22000,22020,22020,22020,22000,22000,22000,22000,22000,22000,22000,22000,22000,22022,22000,22000,22000,22002,22022,22010,22002,22010,22000,22000,22020,22020,22002,22000,22000,22020,22000,22000,22011,22001,22001,22101,22001,22010,22000,22002,22020,22020,22020,22000,22000,22000,22000,22020,22000,22000,22000,22000,22020,22022,22000,20200,21000,20020,21000,20022,20000,20002,20000,20000,20000,21020,21000,21000,20000,21100,20020,20000,20000,21000,20000,20020,20000,21010,21000,20000,20020,21000,20000,21000,20020,20000,20000,20000,20000,20000,20000,20002,20000,21020,21020,21000,21000,20020,20020,20020,20020,20020,20022,20002,20000,20000,21000,20000,20002,20002,20020,20020,20020,20020,20022,20000,20002,21001,20000,20000,21000,20000,20002,20000,20000,22000,22000,22200,22000,20000,20000
geb1t,22001,20000,20000,21000,20000,21200,21000,21000,21000,21000,21000,21000,20000,20000,20100,21000,21000,21000,20000,21000,21000,21000,21000,21000,21000,21001,21000,21000,21000,21002,20000,22200,22200,22200,22200,22202,22200,22000,22000,22000,22002,22000,22000,22020,22000,22000,22012,22000,22000,22020,22000,22000,22001,22000,22000,22000,22000,22000,22000,22000,22020,22000,22000,22000,22000,22000,22000,22002,22000,22000,22000,22002,22002,22000,22002,22000,22000,22000,22000,22000,22002,22000,22000,22000,22000,22000,22001,22001,22001,22101,22001,22000,22000,22002,22000,22000,22000,22010,22010,22000,22000,22000,22020,22000,22000,22000,22000,22002,22000,20200,21000,21010,21000,21002,20000,20002,20000,20000,20000,21000,21000,21000,20000,21100,21000,20000,20000,21000,20000,21000,20000,21000,21000,20000,21000,21000,20000,21000,21000,20000,20000,20000,20000,20000,20000,20002,20000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21002,20002,20010,20000,21000,20000,20002,20002,21000,21000,21000,21000,21002,20000,20002,21001,20000,20000,21000,20000,20002,20000,20000,22020,22000,22200,22000,20000,20000
gebot,22001,20000,20010,21000,20000,21200,21000,21000,21000,21000,21000,21000,20020,20020,20100,21000,21000,21000,20000,21000,21000,21000,21000,21020,21000,21001,21000,21000,21000,21002,20020,22200,22200,22200,22200,22202,22220,22000,22020,22000,22002,22000,22000,22000,22020,22000,22002,22020,22000,22000,22000,22010,22001,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22002,22000,22020,22020,22022,22002,22000,22022,22000,22000,22000,22000,22000,22002,22000,22010,22000,22000,22020,22001,22001,22001,22121,22011,22000,22000,22002,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22002,22000,20200,21000,21000,21000,21002,20000,20002,20000,20000,20000,21000,21000,21000,20000,21110,21010,20020,20020,21000,20020,21010,20010,21010,21010,20010,21010,21010,20010,21010,21010,20000,20000,20000,20000,20000,20000,20002,20000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21002,20002,20000,20000,21000,20000,20002,20022,21010,21010,21010,21010,21012,20010,20022,21011,20000,20010,21000,20000,20002,20000,20020,22000,22000,22200,22010,20010,20000
ged1d,22000,20000,20100,21000,20002,21000,21200,21000,21000,21000,21000,21000,20000,20000,20000,21000,21000,21000,20000,21000,21000,21100,21000,21000,21000,21000,21000,21000,21000,21000,20000,22000,22000,22002,22000,22000,22002,22200,22200,22200,22000,22000,22000,22020,22000,22000,22010,22000,22000,22020,22000,22000,22000,22000,22000,22000,22000,22000,22002,22000,22020,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22010,22010,22000,22000,22000,22022,22000,22000,22000,22000,22000,22000,20000,21000,21010,21100,21000,20100,20000,20000,20000,20000,21002,21000,21000,20000,21000,21002,20000,20000,21000,20000,21200,20200,21100,21000,20000,21000,21000,20000,21000,21000,20002,20000,20000,20000,20000,20000,20000,20000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,20000,20010,20000,21000,20002,20000,20000,21000,21000,21000,21000,21000,20002,20000,21000,20000,20000,21000,20000,20000,20000,20000,22020,22000,22000,22000,20000,20000
ged1t,22001,20000,20100,21000,20100,21000,21200,21000,21000,21000,21000,21000,20000,20000,20000,21000,21000,21000,20000,21000,21000,21100,21000,21000,21000,21001,21000,21000,21000,21002,20000,22000,22000,22100,22000,22002,22100,22200,22200,22200,22002,22000,22000,22020,22000,22000,22012,22000,22000,22020,22000,22000,22001,22000,22000,22000,22000,22000,22100,22000,22020,22000,22000,22000,22000,22000,22000,22002,22000,22000,22000,22002,22002,22000,22002,22000,22000,22000,22000,22000,22002,22000,22000,22000,22000,22000,22001,22001,22001,22001,22001,22000,22000,22002,22000,22000,22000,22010,22010,22000,22000,22000,22120,22000,22000,22000,22000,22002,22000,20000,21000,21010,21100,21002,20100,20002,20000,20000,20000,21100,21000,21000,20000,21000,21100,20000,20000,21000,20000,21200,20200,21100,21000,20000,21000,21000,20000,21000,21000,20100,20000,20000,20000,20000,20000,20002,20000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21002,20002,20010,20000,21000,20100,20002,20002,21000,21000,21000,21000,21002,20100,20002,21001,20000,20000,21000,20000,20002,20000,20000,22020,22000,22000,22000,20000,20000
gedut,22001,20000,20110,21000,20100,21000,21200,21000,21000,21000,21000,21000,20000,20000,20000,21000,21000,21000,20000,21000,21000,21100,21000,21000,21000,21001,21000,21000,21000,21002,20000,22000,22000,22100,22000,22002,22100,22200,22200,22220,22002,22020,22000,22000,22000,22000,22002,22010,22000,22000,22000,22000,22001,22000,22000,22000,22000,22000,22100,22000,22000,22000,22020,22020,22020,22020,22000,22002,22000,22000,22000,22002,22002,22000,22002,22000,22020,22020,22000,22000,22002,22000,22000,22000,22000,22000,22001,22001,22001,22001,22001,22010,22000,22002,22000,22000,22000,22000,22000,22000,22000,22000,22100,22000,22000,22000,22000,22002,22000,20020,21020,21000,21100,21002,20100,20002,20000,20000,20000,21100,21000,21020,20000,21000,21100,20000,20000,21000,20000,21200,20200,21100,21000,20000,21000,21000,20000,21010,21000,20100,20000,20000,20000,20000,20000,20002,20020,21000,21000,21000,21000,21000,21000,21000,21000,21000,21002,20002,20000,20000,21000,20100,20002,20002,21000,21000,21000,21000,21002,20100,20002,21001,20010,20010,21010,20010,20012,20010,20000,22000,22000,22000,22000,20000,20010
geeft,22001,20000,20000,21000,20000,21000,21000,21020,21000,21000,21000,21000,20000,20000,20000,21000,21000,21000,20000,21000,21000,21000,21000,21000,21000,21001,21000,21000,21000,21002,20000,22000,22100,22100,22100,22002,22000,22000,22100,22000,22202,22200,22000,22000,22000,22100,22002,22000,22110,22010,22000,22000,22101,22000,22000,22100,22100,22100,22000,22000,22000,22000,22000,22000,22000,22000,22000,22102,22000,22000,22000,22002,22102,22100,22002,22100,22000,22010,22100,22100,22002,22000,22000,22100,22000,22000,22101,22001,22001,22001,22001,22100,22000,22002,22100,22100,22100,22000,22000,22000,22000,22100,22000,22000,22000,22000,22100,22102,22000,20000,21000,21000,21000,21002,20000,20002,20000,20010,20000,21200,20200,20210,20000,21000,21000,20000,20000,20200,20000,21000,20000,21200,21000,20000,21000,21000,20000,21000,21000,20000,20010,20000,20000,20000,20000,20002,20000,21200,21200,20200,20200,21010,21000,21000,21000,21000,21002,20022,20000,20000,21000,20000,20002,20002,21010,21000,21000,21000,21002,20000,20002,21001,20000,20000,21000,20000,20002,20000,20000,22000,22000,22000,22000,20000,20000
