Guess,waals,wales,walin,welsh,waaks,waard,wacht,waden,wafel,wagen,wagon,waken,waker,wakke,walen,wamen,wanen,want1,wants,wapen,waren,wasem,wasz1,water,watje,wazig,webbe,wedde,weder,weegs,weeps,wegel,wegen,weger,wegge,weide,weids,weken,welig,welke,welnu,wende,wenen,wener,wepel,weren,werst,wessi,weten,weven,wever,wezel,wezen,whist,wicht,wieme,wiens,wierf,wierp,wigge,w1den,w1dte,w1fie,w1fje,w1ken,w1len,w1sje,w1ten,w1zen,w1zer,wikke,wilde,winch,winde,winst,winti,wisse,witje,witte,wodka,woede,woerd,woest,wogen,wonde,wonen,woord,worst,wraak,wrake,wrang,wreed,wreef,wrong,wulps,warau,washi,wasco
waste,22100,22101,22000,20101,22100,22000,22010,22001,22001,22001,22000,22001,22001,22002,22001,22001,22001,22020,22120,22001,22001,22201,22200,22011,22012,22000,20002,20002,20001,20101,20101,20001,20001,20001,20002,20002,20101,20001,20001,20002,20001,20002,20001,20001,20001,20001,20111,20201,20011,20001,20001,20001,20001,20110,20010,20002,20101,20001,20001,20002,20001,20022,20002,20002,20001,20001,20202,20011,20001,20001,20002,20002,20000,20002,20110,20020,20202,20012,20022,21000,20002,20001,20111,20001,20002,20001,20000,20110,21000,21002,21000,20001,20001,20000,20100,22000,22200,22200
watts,22002,22002,22000,20001,22002,22000,22100,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22020,22022,22000,22000,22001,22001,22200,22200,22000,20000,20000,20000,20002,20002,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20000,20000,20000,20000,20101,20001,20200,20000,20000,20000,20000,20101,20100,20000,20002,20000,20000,20000,20000,20020,20000,20000,20000,20000,20001,20200,20000,20000,20000,20000,20000,20000,20101,20020,20001,20200,20220,21000,20000,20000,20101,20000,20000,20000,20000,20101,21000,21000,21000,20000,20000,20000,20002,22000,22001,22001
wauwe,22000,22001,22000,20001,22000,22000,22000,22001,22001,22001,22000,22001,22001,22002,22001,22001,22001,22000,22000,22001,22001,22001,22000,22001,22002,22000,20002,20002,20001,20001,20001,20001,20001,20001,20002,20002,20001,20001,20001,20002,20101,20002,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20000,20000,20002,20001,20001,20001,20002,20001,20002,20002,20002,20001,20001,20002,20001,20001,20001,20002,20002,20000,20002,20000,20000,20002,20002,20002,21000,20002,20001,20001,20001,20002,20001,20000,20000,21000,21002,21000,20001,20001,20000,20100,22100,22000,22000
wazen,22000,22020,22002,20010,22000,22000,22000,22022,22020,22022,22002,22022,22020,22010,22022,22022,22022,22001,22001,22022,22022,22020,22100,22020,22010,22200,20010,20010,20020,20010,20010,20020,20022,20020,20010,20010,20010,20022,20010,20010,20011,20011,20022,20021,20020,20022,20010,20010,20022,20022,20020,20220,20222,20000,20000,20010,20011,20010,20010,20010,20022,20010,20010,20010,20022,20022,20010,20022,20222,20220,20010,20010,20001,20011,20001,20001,20010,20010,20010,21000,20010,20010,20010,20022,20011,20022,20000,20000,21000,21010,21001,20020,20020,20001,20000,22000,22000,22000
weckt,20000,21000,20000,22000,20020,20000,20202,21000,21000,21000,20000,21010,21010,21020,21000,21000,21000,20001,20001,21000,21000,21000,20000,21001,21001,20000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22010,22000,22020,22000,22000,22000,22000,22000,22000,22002,22000,22001,22000,22000,22000,22000,20002,20202,21000,21000,21000,21000,21000,21000,21001,21000,21000,21010,21000,21000,21001,21000,21000,21020,21000,20100,21000,20002,20001,21000,21001,21001,20020,21000,21000,21002,21000,21000,21000,20000,20002,20010,21020,20000,21000,21000,20000,20000,20000,20000,20100
weden,20000,20020,20002,22000,20000,20100,20000,20222,20020,20022,20002,20022,20020,21000,20022,20022,20022,20001,20001,20022,20022,20020,20000,20020,21000,20000,22010,22210,22220,22010,22010,22020,22022,22020,22010,22110,22100,22022,22000,22010,22001,22111,22022,22021,22020,22022,22000,22000,22022,22022,22020,22020,22022,20000,20000,21010,21001,21000,21000,21000,20222,21200,21000,21000,20022,20022,21000,20022,20022,20020,21000,21100,20001,21101,20001,20001,21000,21000,21000,20200,21110,21100,21000,20022,21101,20022,20100,20000,20000,21000,20001,21120,21020,20001,20000,20000,20000,20000
weeft,20000,21000,20000,22000,20000,20000,20002,21000,21010,21000,20000,21000,21000,21000,21000,21000,21000,20001,20001,21000,21000,21000,20000,21001,21001,20000,22100,22100,22100,22200,22200,22100,22100,22100,22100,22100,22000,22100,22000,22100,22000,22100,22100,22100,22100,22100,22002,22000,22101,22100,22100,22100,22100,20002,20002,21200,20200,20210,20200,21000,21000,21001,21010,21010,21000,21000,21000,21001,21000,21000,21000,21000,20000,21000,20002,20001,21000,21001,21001,20000,21200,20200,20202,21000,21000,21000,20000,20002,20000,21000,20000,21200,21210,20000,20000,20000,20000,20000
weegt,20000,21000,20000,22000,20000,20000,20002,21000,21000,21010,20010,21000,21000,21000,21000,21000,21000,20001,20001,21000,21000,21000,20000,21001,21001,20010,22100,22100,22100,22220,22200,22110,22110,22110,22120,22100,22000,22100,22010,22100,22000,22100,22100,22100,22100,22100,22002,22000,22101,22100,22100,22100,22100,20002,20002,21200,20200,20200,20200,21020,21000,21001,21000,21000,21000,21000,21000,21001,21000,21000,21000,21000,20000,21000,20002,20001,21000,21001,21001,20000,21200,20200,20202,21010,21000,21000,20000,20002,20000,21000,20010,21200,21200,20010,20000,20000,20000,20000
weekt,20000,21000,20000,22000,20020,20000,20002,21000,21000,21000,20000,21010,21010,21020,21000,21000,21000,20001,20001,21000,21000,21000,20000,21001,21001,20000,22100,22100,22100,22200,22200,22100,22100,22100,22100,22100,22000,22110,22000,22120,22000,22100,22100,22100,22100,22100,22002,22000,22101,22100,22100,22100,22100,20002,20002,21200,20200,20200,20200,21000,21000,21001,21000,21000,21010,21000,21000,21001,21000,21000,21020,21000,20000,21000,20002,20001,21000,21001,21001,20020,21200,20200,20202,21000,21000,21000,20000,20002,20010,21020,20000,21200,21200,20000,20000,20000,20000,20000
weent,20000,21000,20010,22000,20000,20000,20002,21010,21000,21010,20010,21010,21000,21000,21010,21010,21010,20011,20011,21010,21010,21000,20000,21001,21001,20000,22100,22100,22100,22200,22200,22100,22110,22100,22100,22100,22000,22110,22000,22100,22020,22110,22110,22110,22100,22110,22002,22000,22111,22110,22100,22100,22110,20002,20002,21200,20220,20200,20200,21000,21010,21001,21000,21000,21010,21010,21000,21011,21010,21000,21000,21000,20010,21010,20012,20011,21000,21001,21001,20000,21200,20200,20202,21010,21010,21010,20000,20002,20000,21000,20020,21200,21200,20020,20000,20000,20000,20000
weert,20000,21000,20000,22000,20000,20020,20002,21000,21000,21000,20000,21000,21010,21000,21000,21000,21000,20001,20001,21000,21010,21000,20000,21011,21001,20000,22100,22100,22110,22200,22200,22100,22100,22110,22100,22100,22000,22100,22000,22100,22000,22100,22100,22110,22100,22110,22012,22000,22101,22100,22110,22100,22100,20002,20002,21200,20200,20220,20220,21000,21000,21001,21000,21000,21000,21000,21000,21001,21000,21010,21000,21000,20000,21000,20002,20001,21000,21001,21001,20000,21200,20220,20202,21000,21000,21000,20020,20012,20010,21010,20010,21210,21210,20010,20000,20010,20000,20000
weest,20010,21010,20000,22020,20010,20000,20002,21000,21000,21000,20000,21000,21000,21000,21000,21000,21000,20001,20011,21000,21000,21010,20010,21001,21001,20000,22100,22100,22100,22210,22210,22100,22100,22100,22100,22100,22010,22100,22000,22100,22000,22100,22100,22100,22100,22100,22022,22020,22101,22100,22100,22100,22100,20022,20002,21200,20210,20200,20200,21000,21000,21001,21000,21000,21000,21000,21010,21001,21000,21000,21000,21000,20000,21000,20022,20001,21020,21001,21001,20000,21200,20200,20222,21000,21000,21000,20000,20022,20000,21000,20000,21200,21200,20000,20010,20000,20010,20010
wegga,20001,21001,20001,22000,20001,20001,20001,21001,21001,21201,20201,21001,21001,21001,21001,21001,21001,20001,20001,21001,21001,21001,20001,21001,21001,20101,22000,22000,22000,22020,22000,22200,22200,22200,22220,22000,22000,22000,22100,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,20000,20000,21000,21000,21000,21000,21220,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,20000,21000,20000,20000,21000,21000,21000,20002,21000,21000,21000,21200,21000,21000,20000,20000,20001,21001,20101,21000,21000,20100,20000,20001,20001,20001
wegje,20000,21000,20000,22000,20000,20000,20000,21000,21000,21200,20200,21000,21000,20002,21000,21000,21000,20000,20000,21000,21000,21000,20000,21000,20022,20100,22002,22002,22001,22101,22001,22201,22201,22201,22202,22002,22000,22001,22100,22002,22000,22002,22001,22001,22001,22001,22000,22000,22001,22001,22001,22001,22001,20000,20000,21002,21000,21000,21000,20202,21000,20002,20002,20022,21000,21000,20022,21000,21000,21000,20002,20002,20000,20002,20000,20000,20002,20022,20002,20000,21002,21000,21000,21200,20002,21000,20000,20000,20000,20002,20100,21001,21001,20100,20000,20000,20000,20000
weidt,20000,21000,20100,22000,20000,20010,20002,21010,21000,21000,20000,21000,21000,21000,21000,21000,21000,20001,20001,21000,21000,21000,20000,21001,21001,20100,22000,22020,22010,22000,22000,22000,22000,22000,22000,22220,22220,22000,22100,22000,22000,22020,22000,22000,22000,22000,22002,22100,22001,22000,22000,22000,22000,20202,20102,21100,21100,21100,21100,21100,21010,21011,21100,21000,21000,21000,21000,21001,21000,21000,21100,21120,20100,21120,20102,20101,21100,21101,21101,20010,21020,21010,21002,21000,21020,21000,20010,20002,20000,21000,20000,21010,21000,20000,20000,20000,20100,20000
weien,20000,20020,20102,22000,20000,20000,20000,20022,20020,20022,20002,20022,20020,21000,20022,20022,20022,20001,20001,20022,20022,20020,20000,20020,21000,20100,22010,22010,22020,22010,22010,22020,22022,22020,22010,22210,22200,22022,22100,22010,22001,22011,22022,22021,22020,22022,22000,22100,22022,22022,22020,22020,22022,20200,20100,21110,21101,21100,21100,21100,20022,21000,21100,21000,20022,20022,21000,20022,20022,20020,21100,21100,20101,21101,20101,20101,21100,21100,21100,20000,21010,21000,21000,20022,21001,20022,20000,20000,20000,21000,20001,21020,21020,20001,20000,20000,20100,20000
weker,20000,20020,20000,22000,20100,20001,20000,20020,20020,20020,20000,20220,20222,21200,20020,20020,20020,20000,20000,20020,20021,20020,20000,20022,21000,20000,22010,22010,22022,22010,22010,22020,22020,22022,22010,22010,22000,22220,22000,22110,22000,22010,22020,22022,22020,22021,22001,22000,22020,22020,22022,22020,22020,20000,20000,21010,21000,21001,21001,21000,20020,21000,21000,21000,20220,20020,21000,20020,20020,20022,21200,21000,20000,21000,20000,20000,21000,21000,21000,20100,21010,21001,21000,20020,21000,20020,20001,20001,20101,21101,20001,21021,21021,20001,20000,20001,20000,20000
wekte,20000,21000,20000,22000,20100,20000,20010,21000,21000,21000,20000,21200,21200,20202,21000,21000,21000,20020,20020,21000,21000,21000,20000,21010,20012,20000,22002,22002,22001,22001,22001,22001,22001,22001,22002,22002,22000,22201,22000,22102,22000,22002,22001,22001,22001,22001,22010,22000,22011,22001,22001,22001,22001,20010,20010,21002,21000,21000,21000,20002,21000,20022,20002,20002,21200,21000,20002,21010,21000,21000,20202,20002,20000,20002,20010,20020,20002,20012,20022,20100,21002,21000,21010,21000,20002,21000,20000,20010,20100,20102,20000,21001,21001,20000,20000,20000,20000,20000
welde,20100,21200,20200,22200,20000,20010,20000,21010,21100,21000,20000,21000,21000,20002,21200,21000,21000,20000,20000,21000,21000,21000,20000,21000,20002,20000,22002,22022,22011,22001,22001,22101,22001,22001,22002,22022,22020,22001,22200,22202,22200,22022,22001,22001,22101,22001,22000,22000,22001,22001,22001,22101,22001,20000,20000,21002,21000,21000,21000,20002,21010,20012,20002,20002,21000,21200,20002,21000,21000,21000,20002,20222,20000,20022,20000,20000,20002,20002,20002,20010,21022,21010,21000,21000,20022,21000,20010,20000,20000,20002,20000,21011,21001,20000,20200,20000,20000,20000
welen,20100,20220,20202,22200,20000,20000,20000,20022,20120,20022,20002,20022,20020,21000,20222,20022,20022,20001,20001,20022,20022,20020,20000,20020,21000,20000,22010,22010,22020,22010,22010,22120,22022,22020,22010,22010,22000,22022,22200,22210,22201,22011,22022,22021,22120,22022,22000,22000,22022,22022,22020,22120,22022,20000,20000,21010,21001,21000,21000,21000,20022,21000,21000,21000,20022,20222,21000,20022,20022,20020,21000,21200,20001,21001,20001,20001,21000,21000,21000,20000,21010,21000,21000,20022,21001,20022,20000,20000,20000,21000,20001,21020,21020,20001,20200,20000,20000,20000
welft,20100,21200,20200,22200,20000,20000,20002,21000,21110,21000,20000,21000,21000,21000,21200,21000,21000,20001,20001,21000,21000,21000,20000,21001,21001,20000,22000,22000,22000,22000,22000,22100,22000,22000,22000,22000,22000,22000,22200,22200,22200,22000,22000,22000,22100,22000,22002,22000,22001,22000,22000,22100,22000,20002,20002,21000,21000,21010,21000,21000,21000,21001,21010,21010,21000,21200,21000,21001,21000,21000,21000,21200,20000,21000,20002,20001,21000,21001,21001,20000,21000,21000,21002,21000,21000,21000,20000,20002,20000,21000,20000,21000,21010,20000,20200,20000,20000,20000
welks,20102,21202,20200,22201,20022,20000,20000,21000,21100,21000,20000,21010,21010,21020,21200,21000,21000,20000,20002,21000,21000,21001,20001,21000,21000,20000,22000,22000,22000,22002,22002,22100,22000,22000,22000,22000,22002,22010,22200,22220,22200,22000,22000,22000,22100,22000,22001,22001,22000,22000,22000,22100,22000,20001,20000,21000,21002,21000,21000,21000,21000,21000,21000,21000,21010,21200,21001,21000,21000,21000,21020,21200,20000,21000,20001,20000,21001,21000,21000,20020,21000,21000,21001,21000,21000,21000,20000,20001,20010,21020,20000,21000,21000,20000,20202,20000,20001,20001
