Guess,finse,frank,frans,fries,fabel,facet,facie,facit,facta,fagot,faire,faken,fakir,falen,falie,farad,farao,farce,farde,fasen,fases,fatum,fatwa,fauna,faxen,feces,feeks,feest,femel,fenol,ferry,fiber,fiche,fichu,ficus,fielt,fiets,f1fel,f1nte,filet,fiool,firma,fitis,fjord,flair,flank,flard,flash,flauw,fleer,flens,flets,fleur,flink,flirt,flits,floep,floer,floot,flora,floss,fluim,fluit,fluks,fluor,flyer,fobie,focus,foert,folie,folio,folky,fonds,forel,forma,forte,forto,forum,fossa,foton,foyer,fraai,frame,franc,frank,frase,frats,freak,frees,freon,fries,friet,frigo,frons,front,fruit,fundi,funky,furie,fusee,fusie,futon,fylum,frust,fysio
fezel,21000,20000,20000,20020,20022,20020,21000,20000,20000,20000,21000,20020,20000,20021,21001,20000,20000,21000,21000,20020,20020,20000,20000,20000,20020,22020,22010,22010,22022,22002,22000,20020,21000,20000,20000,21001,21000,20022,21000,20021,20002,20000,20000,20000,20001,20001,20001,20001,20001,21021,21001,21001,21001,20001,20001,20001,20021,20021,20001,20001,20001,20001,20001,20001,20001,20021,21000,20000,21000,21001,20001,20001,20000,20022,20000,21000,20000,20000,20000,20000,20020,20000,21000,20000,20000,21000,20000,21000,21020,21000,20020,20020,20000,20000,20000,20000,20000,20000,21000,21020,21000,20000,20001,20000,20000
fiere,22002,20010,20010,21110,20100,20100,21002,21000,20000,20000,21022,20100,21010,20100,21002,20010,20010,20012,20012,20100,20100,20000,20000,20000,20100,20101,20201,20201,20101,20100,20120,22110,22002,22000,22000,22200,22200,20100,20002,22100,22000,22010,22000,20020,21010,20000,20020,20000,20000,20211,20200,20200,20210,21000,21020,21000,20100,20110,20000,20020,20000,21000,21000,20000,20010,20110,21002,20000,20220,21002,21000,20000,20000,20110,20010,20012,20010,20010,20000,20000,20110,21010,20012,20010,20010,20012,20010,20210,20211,20210,21110,21110,21010,20010,20010,21010,21000,20000,21012,20102,21002,20000,20000,20010,21000
f1nen,20210,20100,20100,20020,20020,20020,20010,20000,20000,20000,20010,20022,20000,20022,20010,20000,20000,20010,20010,20022,20020,20000,20000,20100,20022,20020,20010,20010,20020,20210,20010,20020,20010,20000,20000,20010,20010,22020,22210,20020,20000,20000,20000,20000,20000,20100,20000,20000,20000,20020,20110,20010,20010,20100,20000,20000,20020,20020,20000,20000,20000,20000,20000,20000,20000,20020,20010,20000,20010,20010,20000,20000,20200,20020,20000,20010,20000,20000,20000,20002,20020,20000,20010,20100,20100,20010,20000,20010,20020,20012,20020,20020,20000,20100,20100,20000,20200,20200,20010,20020,20010,20002,20000,20000,20000
f1ner,20210,20101,20101,20021,20020,20020,20010,20000,20000,20000,20011,20120,20002,20120,20010,20001,20001,20011,20011,20120,20020,20000,20000,20100,20120,20020,20010,20010,20020,20210,20011,20022,20010,20000,20000,20010,20010,22020,22210,20020,20000,20001,20000,20001,20002,20100,20001,20000,20000,20022,20110,20010,20012,20100,20001,20000,20020,20022,20000,20001,20000,20000,20000,20000,20002,20022,20010,20000,20011,20010,20000,20000,20200,20021,20001,20011,20001,20001,20000,20100,20022,20001,20011,20101,20101,20011,20001,20011,20021,20111,20021,20021,20001,20101,20101,20001,20200,20200,20011,20020,20010,20100,20000,20001,20000
f1nst,20220,20100,20110,20010,20000,20002,20000,20002,20001,20002,20000,20100,20000,20100,20000,20000,20000,20000,20000,20110,20010,20001,20001,20100,20100,20010,20010,20022,20000,20200,20000,20000,20000,20000,20010,20002,20011,22000,22201,20002,20000,20000,20011,20000,20000,20100,20000,20020,20000,20000,20110,20011,20000,20100,20002,20011,20000,20000,20002,20000,20020,20000,20002,20010,20000,20000,20000,20010,20002,20000,20000,20000,20210,20000,20000,20001,20001,20000,20020,20101,20000,20000,20000,20100,20100,20020,20011,20000,20010,20100,20010,20002,20000,20110,20102,20002,20200,20200,20000,20010,20010,20101,20000,20022,20010
fikse,22022,20100,20010,21011,20001,20001,21002,21000,20000,20000,21002,20201,21200,20001,21002,20000,20000,20002,20002,20011,20011,20000,20000,20000,20001,20011,20111,20021,20001,20001,20001,22001,22002,22000,22010,22001,22011,20001,20002,22001,22000,22000,22010,20000,21000,20100,20000,20020,20000,20001,20011,20011,20001,21100,21000,21010,20001,20001,20000,20000,20020,21000,21000,20110,20000,20001,21002,20010,20001,21002,21000,20100,20010,20001,20000,20002,20000,20000,20020,20000,20001,21000,20002,20000,20100,20022,20010,20101,20011,20001,21011,21001,21000,20010,20000,21000,21000,20100,21002,20012,21012,20000,20000,20020,21010
fikst,22020,20100,20010,21010,20000,20002,21000,21002,20001,20002,21000,20200,21200,20000,21000,20000,20000,20000,20000,20010,20010,20001,20001,20000,20000,20010,20110,20022,20000,20000,20000,22000,22000,22000,22010,22002,22011,20000,20001,22002,22000,22000,22011,20000,21000,20100,20000,20020,20000,20000,20010,20011,20000,21100,21002,21011,20000,20000,20002,20000,20020,21000,21002,20110,20000,20000,21000,20010,20002,21000,21000,20100,20010,20000,20000,20001,20001,20000,20020,20001,20000,21000,20000,20000,20100,20020,20011,20100,20010,20000,21010,21002,21000,20010,20002,21002,21000,20100,21000,20010,21010,20001,20000,20022,21010
files,22011,20000,20002,21022,20120,20020,21010,21000,20000,20000,21010,20020,21000,20220,21210,20000,20000,20010,20010,20021,20022,20000,20000,20000,20020,20022,20012,20011,20120,20110,20010,22020,22010,22000,22002,22110,22012,20120,20010,22220,22100,22000,22002,20000,21100,20100,20100,20101,20100,20120,20112,20112,20110,21100,21100,21102,20120,20120,20100,20100,20102,21100,21100,20102,20100,20120,21010,20002,20010,21210,21200,20200,20002,20120,20000,20010,20000,20000,20001,20000,20020,21000,20010,20000,20000,20011,20002,20010,20022,20010,21022,21020,21000,20002,20000,21000,21000,20000,21010,20021,21011,20000,20200,20001,21001
films,22001,20000,20002,21002,20100,20000,21000,21000,20000,20000,21000,20000,21000,20200,21200,20000,20000,20000,20000,20001,20002,20010,20000,20000,20000,20002,20002,20001,20110,20100,20000,22000,22000,22000,22002,22100,22002,20100,20000,22200,22100,22020,22002,20000,21100,20100,20100,20101,20100,20100,20102,20102,20100,21100,21100,21102,20100,20100,20100,20100,20102,21110,21100,20102,20100,20100,21000,20002,20000,21200,21200,20200,20002,20100,20020,20000,20000,20010,20001,20000,20000,21000,20020,20000,20000,20001,20002,20000,20002,20000,21002,21000,21000,20002,20000,21000,21000,20000,21000,20001,21001,20000,20210,20001,21001
filmt,22000,20000,20000,21000,20100,20002,21000,21002,20001,20002,21000,20000,21000,20200,21200,20000,20000,20000,20000,20000,20000,20011,20001,20000,20000,20000,20000,20002,20110,20100,20000,22000,22000,22000,22000,22102,22001,20100,20001,22202,22100,22020,22001,20000,21100,20100,20100,20100,20100,20100,20100,20101,20100,21100,21102,21101,20100,20100,20102,20100,20100,21110,21102,20100,20100,20100,21000,20000,20002,21200,21200,20200,20000,20100,20020,20001,20001,20010,20000,20001,20000,21000,20020,20000,20000,20000,20001,20000,20000,20000,21000,21002,21000,20000,20002,21002,21000,20000,21000,20000,21000,20001,20210,20002,21000
fitst,22020,20000,20010,21010,20000,20002,21000,21002,20100,20002,21000,20000,21000,20000,21000,20000,20000,20000,20000,20010,20010,20200,20200,20000,20000,20010,20010,20022,20000,20000,20000,22000,22000,22000,22010,22002,22110,20000,20100,22002,22000,22000,22210,20000,21000,20000,20000,20020,20000,20000,20010,20110,20000,21000,21002,21110,20000,20000,20002,20000,20020,21000,21002,20010,20000,20000,21000,20010,20002,21000,21000,20000,20010,20000,20000,20100,20100,20000,20020,20200,20000,21000,20000,20000,20000,20020,20110,20000,20010,20000,21010,21002,21000,20010,20002,21002,21000,20000,21000,20010,21010,20200,20000,20022,21010
fitte,22002,20000,20000,21001,20001,20101,21002,21100,20020,20100,21002,20001,21000,20001,21002,20000,20000,20002,20002,20001,20001,20200,20200,20000,20001,20001,20001,20101,20001,20001,20001,22001,22002,22000,22000,22101,22021,20001,20022,22101,22000,22000,22200,20000,21000,20000,20000,20000,20000,20001,20001,20021,20001,21000,21100,21020,20001,20001,20100,20000,20000,21000,21100,20000,20000,20001,21002,20000,20101,21002,21000,20000,20000,20001,20000,20022,20020,20000,20000,20200,20001,21000,20002,20000,20000,20002,20020,20001,20001,20001,21001,21101,21000,20000,20100,21100,21000,20000,21002,20002,21002,20200,20000,20100,21000
flans,20011,20220,20222,20002,21100,20100,20100,20100,20100,20100,20100,20110,20100,21110,21100,20100,20100,20100,20100,20111,20102,20100,20100,20120,20110,20002,20002,20001,21000,21010,20000,20000,20000,20000,20002,21000,20002,21000,20010,21000,21000,20100,20002,20000,22200,22220,22200,22201,22200,22000,22022,22002,22000,22020,22000,22002,22000,22000,22000,22100,22002,22000,22000,22002,22000,22000,20000,20002,20000,21000,21000,21000,20012,21000,20100,20000,20000,20000,20101,20010,20000,20200,20200,20220,20220,20201,20202,20100,20002,20010,20002,20000,20000,20022,20020,20000,20010,20010,20000,20001,20001,20010,21000,20001,20001
flapt,20000,20200,20200,20000,21100,20102,20100,20102,20101,20102,20100,20100,20100,21100,21100,20100,20100,20100,20100,20100,20100,20101,20101,20100,20100,20000,20000,20002,21000,21000,20000,20000,20000,20000,20000,21002,20001,21000,20001,21002,21000,20100,20001,20000,22200,22200,22200,22200,22200,22000,22000,22001,22000,22000,22002,22001,22010,22000,22002,22100,22000,22000,22002,22000,22000,22000,20000,20000,20002,21000,21000,21000,20000,21000,20100,20001,20001,20000,20100,20001,20000,20200,20200,20200,20200,20200,20201,20100,20000,20000,20000,20002,20000,20000,20002,20002,20000,20000,20000,20000,20000,20001,21000,20002,20000
flats,20001,20200,20202,20002,21100,20110,20100,20110,20120,20110,20100,20100,20100,21100,21100,20100,20100,20100,20100,20101,20102,20110,20110,20100,20100,20002,20002,20011,21000,21000,20000,20000,20000,20000,20002,21010,20022,21000,20020,21010,21000,20100,20012,20000,22200,22200,22200,22201,22200,22000,22002,22022,22000,22000,22010,22022,22000,22000,22010,22100,22002,22000,22010,22002,22000,22000,20000,20002,20010,21000,21000,21000,20002,21000,20100,20020,20020,20000,20101,20010,20000,20200,20200,20200,20200,20201,20222,20100,20002,20000,20002,20010,20000,20002,20010,20010,20000,20000,20000,20001,20001,20010,21000,20011,20001
fleem,20100,20000,20000,20020,21020,20020,20100,20000,20000,20000,20100,20020,20000,21020,21100,20000,20000,20100,20100,20020,20020,20002,20000,20000,20020,20120,20210,20210,21121,21100,20100,20020,20100,20000,20000,21200,20200,21020,20100,21020,21000,20001,20000,20000,22000,22000,22000,22000,22000,22220,22200,22200,22200,22000,22000,22000,22020,22020,22000,22000,22000,22002,22000,22000,22000,22020,20100,20000,20200,21100,21000,21000,20000,21020,20001,20100,20000,20002,20000,20000,20020,20000,20101,20000,20000,20100,20000,20200,20220,20200,20020,20020,20000,20000,20000,20000,20000,20000,20100,20120,20100,20000,21002,20000,20000
flikt,20100,20010,20000,20200,21000,20002,20100,20102,20001,20002,20200,20010,20110,21000,21100,20000,20000,20000,20000,20000,20000,20001,20001,20000,20000,20000,20020,20002,21000,21000,20000,20100,20100,20100,20100,21102,20101,21000,20001,21102,21100,20100,20101,20000,22100,22010,22000,22000,22000,22000,22000,22001,22000,22210,22202,22201,22000,22000,22002,22000,22000,22100,22102,22020,22000,22000,20100,20000,20002,21100,21100,21020,20000,21000,20000,20001,20001,20000,20000,20001,20000,20100,20000,20000,20010,20000,20001,20010,20000,20000,20200,20202,20200,20000,20002,20102,20100,20020,20100,20000,20100,20001,21000,20002,20100
flipt,20100,20000,20000,20200,21000,20002,20100,20102,20001,20002,20200,20000,20100,21000,21100,20000,20000,20000,20000,20000,20000,20001,20001,20000,20000,20000,20000,20002,21000,21000,20000,20100,20100,20100,20100,21102,20101,21000,20001,21102,21100,20100,20101,20000,22100,22000,22000,22000,22000,22000,22000,22001,22000,22200,22202,22201,22010,22000,22002,22000,22000,22100,22102,22000,22000,22000,20100,20000,20002,21100,21100,21000,20000,21000,20000,20001,20001,20000,20000,20001,20000,20100,20000,20000,20000,20000,20001,20000,20000,20000,20200,20202,20200,20000,20002,20102,20100,20000,20100,20000,20100,20001,21000,20002,20100
flopt,20000,20000,20000,20000,21000,20002,20000,20002,20001,20102,20000,20000,20000,21000,21000,20000,20100,20000,20000,20000,20000,20001,20001,20000,20000,20000,20000,20002,21000,21100,20000,20000,20000,20000,20000,21002,20001,21000,20001,21002,21200,20000,20001,20200,22000,22000,22000,22000,22000,22000,22000,22001,22000,22000,22002,22001,22210,22200,22202,22200,22200,22000,22002,22000,22100,22000,20100,20100,20102,21100,21100,21100,20100,21100,20100,20101,20101,20100,20100,20101,20100,20000,20000,20000,20000,20000,20001,20000,20000,20100,20000,20002,20100,20200,20202,20002,20000,20000,20000,20000,20000,20101,21000,20002,20100
fnuik,21010,21002,21000,20010,20000,20000,20020,20020,20000,20000,20010,21001,20021,21000,20020,20000,20000,20000,20000,21000,20000,20100,20000,21200,21000,20000,20001,20000,20000,21000,20000,20010,20010,20110,20110,20010,20010,20000,21000,20010,20010,20010,20020,20000,20020,21002,20000,20000,20100,20000,21000,20000,20100,21012,20010,20010,20000,20000,20000,20000,20000,20220,20220,20201,20200,20000,20020,20100,20000,20020,20020,20001,21000,20000,20000,20000,20000,20100,20000,21000,20000,20010,20000,21000,21002,20000,20000,20002,20000,21000,20010,20010,20010,21000,21000,20220,21110,21101,20120,20100,20120,21100,20100,20200,20020
fokte,20002,20100,20000,20001,20001,20011,20002,20010,20020,21010,20002,20201,20200,20001,20002,20000,21000,20002,20002,20001,20001,20010,20010,20000,20001,20001,20101,20011,20001,21001,20001,20001,20002,20000,20000,20011,20021,20001,20022,20011,21000,20000,20010,21000,20000,20100,20000,20000,20000,20001,20001,20021,20001,20100,20010,20020,21001,21001,21010,21000,21000,20000,20010,20100,21000,20001,22002,22000,22011,22002,22000,22100,22000,22001,22000,22022,22020,22000,22000,22010,22001,20000,20002,20000,20100,20002,20020,20101,20001,21001,20001,20011,21000,21000,21010,20010,20000,20100,20002,20002,20002,21010,20000,20010,21000
fonts,20201,20100,20102,20002,20000,20010,20000,20010,20020,21010,20000,20100,20000,20100,20000,20000,21000,20000,20000,20101,20002,20010,20010,20100,20100,20002,20002,20011,20000,21200,20000,20000,20000,20000,20002,20010,20022,20000,20220,20010,21000,20000,20012,21000,20000,20100,20000,20001,20000,20000,20102,20022,20000,20100,20010,20022,21000,21000,21010,21000,21002,20000,20010,20002,21000,20000,22000,22002,22010,22000,22000,22000,22202,22000,22000,22020,22020,22000,22001,22110,22000,20000,20000,20100,20100,20001,20022,20000,20002,21100,20002,20010,21000,21102,21110,20010,20200,20200,20000,20001,20001,21110,20000,20011,21001
fopte,20002,20000,20000,20001,20001,20011,20002,20010,20020,21010,20002,20001,20000,20001,20002,20000,21000,20002,20002,20001,20001,20010,20010,20000,20001,20001,20001,20011,20001,21001,20001,20001,20002,20000,20000,20011,20021,20001,20022,20011,21000,20000,20010,21000,20000,20000,20000,20000,20000,20001,20001,20021,20001,20000,20010,20020,21101,21001,21010,21000,21000,20000,20010,20000,21000,20001,22002,22000,22011,22002,22000,22000,22000,22001,22000,22022,22020,22000,22000,22010,22001,20000,20002,20000,20000,20002,20020,20001,20001,21001,20001,20011,21000,21000,21010,20010,20000,20000,20002,20002,20002,21010,20000,20010,21000
foren,20011,20101,20101,20120,20020,20020,20010,20000,20000,21000,20110,20022,20100,20022,20010,20200,21200,20210,20210,20022,20020,20000,20000,20001,20022,20020,20010,20010,20020,21011,20210,20120,20010,20000,20000,20010,20010,20020,20011,20020,21000,20200,20000,21100,20100,20001,20100,20000,20000,20120,20011,20010,20110,20001,20100,20000,21020,21120,21000,21100,21000,20000,20000,20000,21100,20120,22010,22000,22110,22010,22000,22000,22001,22220,22200,22210,22200,22200,22000,22002,22120,20100,20110,20101,20101,20110,20100,20110,20120,21112,20120,20120,21100,21101,21101,20100,20001,20001,20210,20020,20010,21002,20000,20100,21000
forse,20022,20100,20110,20111,20001,20001,20002,20000,20000,21000,20102,20001,20100,20001,20002,20200,21200,20202,20202,20011,20011,20000,20000,20000,20001,20011,20011,20021,20001,21001,20201,20101,20002,20000,20010,20001,20011,20001,20002,20001,21000,20200,20010,21100,20100,20000,20100,20020,20000,20101,20011,20011,20101,20000,20100,20010,21001,21101,21000,21100,21020,20000,20000,20010,21100,20101,22002,22010,22101,22002,22000,22000,22010,22201,22200,22202,22200,22200,22020,22000,22101,20100,20102,20100,20100,20122,20110,20101,20111,21101,20111,20101,21100,21110,21100,20100,20000,20000,20202,20012,20012,21000,20000,20120,21010
foute,20002,20000,20000,20001,20001,20011,20002,20010,20020,21010,20002,20001,20000,20001,20002,20000,21000,20002,20002,20001,20001,20110,20010,20200,20001,20001,20001,20011,20001,21001,20001,20001,20002,20100,20100,20011,20021,20001,20022,20011,21000,20000,20010,21000,20000,20000,20000,20000,20100,20001,20001,20021,20101,20000,20010,20020,21001,21001,21010,21000,21000,20200,20210,20200,21200,20001,22002,22100,22011,22002,22000,22000,22000,22001,22000,22022,22020,22100,22000,22010,22001,20000,20002,20000,20000,20002,20020,20001,20001,21001,20001,20011,21000,21000,21010,20210,20100,20100,20102,20102,20102,21110,20100,20210,21000
foxen,20011,20001,20001,20020,20020,20020,20010,20000,20000,21000,20010,20022,20000,20022,20010,20000,21000,20010,20010,20022,20020,20000,20000,20001,20222,20020,20010,20010,20020,21011,20010,20020,20010,20000,20000,20010,20010,20020,20011,20020,21000,20000,20000,21000,20000,20001,20000,20000,20000,20020,20011,20010,20010,20001,20000,20000,21020,21020,21000,21000,21000,20000,20000,20000,21000,20020,22010,22000,22010,22010,22000,22000,22001,22020,22000,22010,22000,22000,22000,22002,22020,20000,20010,20001,20001,20010,20000,20010,20020,21012,20020,20020,21000,21001,21001,20000,20001,20001,20010,20020,20010,21002,20000,20000,21000
fr1nt,20010,22020,22020,22000,20000,20002,20000,20002,20001,20002,21000,20010,21000,20010,20000,21000,21000,21000,21000,20010,20000,20001,20001,20020,20010,20000,20000,20002,20000,20010,21000,21000,20000,20000,20000,20002,20001,20100,20111,20002,20000,21000,20001,21000,21000,20020,21000,20000,20000,21000,20020,20001,21000,20020,21002,20001,20000,21000,20002,21000,20000,20000,20002,20000,21000,21000,20000,20000,21002,20000,20000,20000,20010,21000,21000,21001,21001,21000,20000,20011,21000,22000,22000,22020,22020,22000,22001,22000,22000,22010,22000,22002,22000,22020,22022,22002,20010,20010,21000,20000,20000,20011,20000,22002,20000
frist,20120,22000,22010,22210,20000,20002,20100,20102,20001,20002,21200,20000,21100,20000,20100,21000,21000,21000,21000,20010,20010,20001,20001,20000,20000,20010,20010,20022,20000,20000,21000,21100,20100,20100,20110,20102,20111,20000,20001,20102,20100,21100,20111,21000,21100,20000,21000,20020,20000,21000,20010,20011,21000,20200,21202,20211,20000,21000,20002,21000,20020,20100,20102,20010,21000,21000,20100,20010,21002,20100,20100,20000,20010,21000,21000,21001,21001,21000,20020,20001,21000,22100,22000,22000,22000,22020,22011,22000,22010,22000,22210,22202,22200,22010,22002,22102,20100,20000,21100,20010,20110,20001,20000,22022,20110
fuift,20100,20000,20000,20200,20000,20002,20100,20102,20001,20002,20200,20000,20100,20000,20100,20000,20000,20000,20000,20000,20000,21001,20001,21000,20000,20000,20000,20002,20000,20000,20000,20100,20100,21100,21100,20102,20101,20010,20001,20102,20100,20100,20101,20000,20100,20000,20000,20000,21000,20000,20000,20001,21000,20200,20202,20201,20000,20000,20002,20000,20000,21100,21102,21000,21000,20000,20100,21000,20002,20100,20100,20000,20000,20000,20000,20001,20001,21000,20000,20001,20000,20100,20000,20000,20000,20000,20001,20000,20000,20000,20200,20202,20200,20000,20002,21102,22100,22000,22100,22000,22100,22001,21000,21002,20100
futen,20011,20001,20001,20020,20020,20120,20010,20100,20100,20100,20010,20022,20000,20022,20010,20000,20000,20010,20010,20022,20020,21200,20200,21001,20022,20020,20010,20110,20020,20011,20010,20020,20010,21000,21000,20110,20110,20020,20111,20120,20000,20000,20200,20000,20000,20001,20000,20000,21000,20020,20011,20110,21010,20001,20100,20100,20020,20020,20100,20000,20000,21000,21100,21000,21000,20020,20010,21000,20110,20010,20000,20000,20001,20020,20000,20110,20100,21000,20000,20202,20020,20000,20010,20001,20001,20010,20100,20010,20020,20012,20020,20120,20000,20001,20101,21100,22001,22001,22010,22020,22010,22202,21000,21100,20000
